,lemmatised_Luke
999,kindred
1000,called
1001,name
1002,.
1003,1:62
1004,.
1005,made
1006,sign
1007,father
1008,","
1009,would
1010,called
1011,.
1012,1:63
1013,.
1014,demanding
1015,writing
1016,table
1017,","
1018,wrote
1019,","
1020,saying
1021,:
1022,John
1023,name
1024,.
1025,wondered
1026,.
1027,1:64
1028,.
1029,immediately
1030,mouth
1031,opened
1032,tongue
1033,loosed
1034,:
1035,spoke
1036,","
1037,blessing
1038,God
1039,.
1040,1:65
1041,.
1042,fear
1043,came
1044,upon
1045,neighbour
1046,:
1047,thing
1048,noised
1049,abroad
1050,hill
1051,country
1052,Judea
1053,.
1054,1:66
1055,.
1056,heard
1057,laid
1058,heart
1059,","
1060,saying
1061,:
1062,one
1063,","
1064,think
1065,ye
1066,","
1067,shall
1068,child
1069,?
1070,hand
1071,Lord
1072,.
1073,1:67
1074,.
1075,Zachary
1076,father
1077,filled
1078,Holy
1079,Ghost
1080,.
1081,prophesied
1082,","
1083,saying
1084,:
1085,1:68
1086,.
1087,Blessed
1088,Lord
1089,God
1090,Israel
1091,:
1092,hath
1093,visited
1094,wrought
1095,redemption
1096,people
1097,.
1098,1:69
1099,.
1100,hath
1101,raised
1102,horn
1103,salvation
1104,u
1105,","
1106,house
1107,David
1108,servant
1109,.
1110,Horn
1111,salvation
1112,....
1113,","
1114,powerful
1115,salvation
1116,","
1117,Dr.
1118,Witham
1119,translates
1120,.
1121,Scripture
1122,","
1123,horn
1124,generally
1125,understood
1126,strength
1127,power
1128,.
1129,1:70
1130,.
1131,spoke
1132,mouth
1133,holy
1134,prophet
1135,","
1136,beginning
1137,.
1138,1:71
1139,.
1140,Salvation
1141,enemy
1142,hand
1143,hate
1144,u
1145,.
1146,1:72
1147,.
1148,perform
1149,mercy
1150,father
1151,remember
1152,holy
1153,testament
1154,.
1155,1:73
1156,.
1157,oath
1158,","
1159,swore
1160,Abraham
1161,father
1162,","
1163,would
1164,grant
1165,u
1166,.
1167,1:74
1168,.
1169,delivered
1170,hand
1171,enemy
1172,","
1173,may
1174,serve
1175,without
1176,fear
1177,:
1178,1:75
1179,.
1180,holiness
1181,justice
1182,","
1183,day
1184,.
1185,1:76
1186,.
1187,thou
1188,","
1189,child
1190,","
1191,shalt
1192,called
1193,prophet
1194,Highest
1195,:
1196,thou
1197,shalt
1198,","
1199,go
1200,face
1201,Lord
1202,prepare
1203,way
1204,:
1205,1:77
1206,.
1207,give
1208,knowledge
1209,salvation
1210,people
1211,","
1212,unto
1213,remission
1214,sin
1215,.
1216,1:78
1217,.
1218,bowel
1219,mercy
1220,God
1221,","
1222,Orient
1223,high
1224,hath
1225,visited
1226,u
1227,:
1228,Orient
1229,....
1230,one
1231,title
1232,Messias
1233,","
1234,true
1235,light
1236,world
1237,","
1238,sun
1239,justice
1240,.
1241,1:79
1242,.
1243,enlighten
1244,sit
1245,darkness
1246,shadow
1247,death
1248,:
1249,direct
1250,foot
1251,way
1252,peace
1253,.
1254,1:80
1255,.
1256,child
1257,grew
1258,strengthened
1259,spirit
1260,:
1261,desert
1262,day
1263,manifestation
1264,Israel
1265,.
1266,Luke
1267,Chapter
1268,2
1269,birth
1270,Christ
1271,.
1272,presentation
1273,temple
1274,.
1275,Simeon
1276,’
1277,prophecy
1278,.
1279,Christ
1280,twelve
1281,year
1282,age
1283,","
1284,found
1285,amongst
1286,doctor
1287,.
1288,2:1
1289,.
1290,came
1291,pas
1292,day
1293,went
1294,decree
1295,Caesar
1296,Augustus
1297,whole
1298,world
1299,enrolled
1300,.
1301,2:2
1302,.
1303,enrolling
1304,first
1305,made
1306,Cyrinus
1307,","
1308,governor
1309,Syria
1310,.
1311,2:3
1312,.
1313,went
1314,enrolled
1315,","
1316,every
1317,one
1318,city
1319,.
1320,2:4
1321,.
1322,Joseph
1323,also
1324,went
1325,Galilee
1326,","
1327,city
1328,Nazareth
1329,","
1330,Judea
1331,","
1332,city
1333,David
1334,","
1335,called
1336,Bethlehem
1337,:
1338,house
1339,family
1340,David
1341,.
1342,2:5
1343,.
1344,enrolled
1345,Mary
1346,espoused
1347,wife
1348,","
1349,child
1350,.
1351,2:6
1352,.
1353,came
1354,pas
1355,","
1356,day
1357,accomplished
1358,delivered
1359,.
1360,2:7
1361,.
1362,brought
1363,forth
1364,first
1365,born
1366,son
1367,wrapped
1368,swaddling
1369,clothes
1370,laid
1371,manger
1372,:
1373,room
1374,inn
1375,.
1376,firstborn
1377,....
1378,meaning
1379,","
1380,afterward
1381,child
1382,;
1383,way
1384,speech
1385,among
1386,Hebrews
1387,","
1388,call
1389,also
1390,firstborn
1391,","
1392,child
1393,.
1394,See
1395,annotation
1396,Matt
1397,.
1398,1
1399,.
1400,25
1401,.
1402,2:8
1403,.
1404,country
1405,shepherd
1406,watching
