,lemmatised_Luke
9868,gird
9869,make
9870,sit
9871,meat
9872,passing
9873,minister
9874,unto
9875,.
9876,12:38
9877,.
9878,shall
9879,come
9880,second
9881,watch
9882,come
9883,third
9884,watch
9885,find
9886,","
9887,blessed
9888,servant
9889,.
9890,12:39
9891,.
9892,know
9893,ye
9894,","
9895,householder
9896,know
9897,hour
9898,thief
9899,would
9900,come
9901,","
9902,would
9903,surely
9904,watch
9905,would
9906,suffer
9907,house
9908,broken
9909,open
9910,.
9911,12:40
9912,.
9913,also
9914,ready
9915,:
9916,hour
9917,think
9918,Son
9919,man
9920,come
9921,.
9922,12:41
9923,.
9924,Peter
9925,said
9926,:
9927,Lord
9928,","
9929,dost
9930,thou
9931,speak
9932,parable
9933,u
9934,","
9935,likewise
9936,?
9937,12:42
9938,.
9939,Lord
9940,said
9941,:
9942,thinkest
9943,thou
9944,faithful
9945,wise
9946,steward
9947,","
9948,lord
9949,setteth
9950,family
9951,","
9952,give
9953,measure
9954,wheat
9955,due
9956,season
9957,?
9958,12:43
9959,.
9960,Blessed
9961,servant
9962,","
9963,lord
9964,shall
9965,come
9966,","
9967,shall
9968,find
9969,.
9970,12:44
9971,.
9972,Verily
9973,say
9974,","
9975,set
9976,possesseth
9977,.
9978,12:45
9979,.
9980,servant
9981,shall
9982,say
9983,heart
9984,:
9985,lord
9986,long
9987,coming
9988,;
9989,shall
9990,begin
9991,strike
9992,men-servants
9993,maid-servants
9994,","
9995,eat
9996,drink
9997,drunk
9998,:
9999,12:46
10000,.
10001,lord
10002,servant
10003,come
10004,day
10005,hopeth
10006,","
10007,hour
10008,knoweth
10009,:
10010,shall
10011,separate
10012,shall
10013,appoint
10014,portion
10015,unbeliever
10016,.
10017,12:47
10018,.
10019,servant
10020,","
10021,knew
10022,lord
10023,prepared
10024,according
10025,","
10026,shall
10027,beaten
10028,many
10029,stripe
10030,.
10031,12:48
10032,.
10033,knew
10034,thing
10035,worthy
10036,stripe
10037,shall
10038,beaten
10039,stripe
10040,.
10041,unto
10042,whomsoever
10043,much
10044,given
10045,","
10046,much
10047,shall
10048,required
10049,:
10050,committed
10051,much
10052,","
10053,demand
10054,.
10055,12:49
10056,.
10057,come
10058,cast
10059,fire
10060,earth
10061,.
10062,","
10063,kindled
10064,?
10065,12:50
10066,.
10067,baptism
10068,wherewith
10069,baptized
10070,.
10071,straitened
10072,accomplished
10073,?
10074,12:51
10075,.
10076,Think
10077,ye
10078,","
10079,come
10080,give
10081,peace
10082,earth
10083,?
10084,tell
10085,","
10086,;
10087,separation
10088,.
10089,12:52
10090,.
10091,shall
10092,henceforth
10093,five
10094,one
10095,house
10096,divided
10097,:
10098,three
10099,two
10100,","
10101,two
10102,three
10103,.
10104,12:53
10105,.
10106,father
10107,shall
10108,divided
10109,son
10110,son
10111,father
10112,:
10113,mother
10114,daughter
10115,daughter
10116,mother
10117,:
10118,mother-in-law
10119,daughter-in-law
10120,daughter-in-law
10121,mother-in-law
10122,.
10123,12:54
10124,.
10125,said
10126,also
10127,multitude
10128,:
10129,see
10130,cloud
10131,rising
10132,west
10133,","
10134,presently
10135,say
10136,:
10137,shower
10138,coming
10139,.
10140,happeneth
10141,.
10142,12:55
10143,.
10144,ye
10145,see
10146,south
10147,wind
10148,blow
10149,","
10150,say
10151,:
10152,heat
10153,.
10154,cometh
10155,pas
10156,.
10157,12:56
10158,.
10159,hypocrite
10160,","
10161,know
10162,discern
10163,face
10164,heaven
10165,earth
10166,:
10167,discern
10168,time
10169,?
10170,12:57
10171,.
10172,","
10173,even
10174,","
10175,judge
10176,?
10177,12:58
10178,.
10179,thou
10180,goest
10181,thy
10182,adversary
10183,prince
10184,","
10185,whilst
10186,thou
10187,art
10188,way
10189,","
10190,endeavour
10191,delivered
10192,:
10193,lest
10194,perhaps
10195,draw
10196,thee
10197,judge
10198,","
10199,judge
10200,deliver
10201,thee
10202,exacter
10203,","
10204,exacter
10205,cast
10206,thee
10207,prison
10208,.
10209,12:59
10210,.
10211,say
10212,thee
10213,","
10214,thou
10215,shalt
10216,go
10217,thence
10218,thou
10219,pay
10220,last
10221,mite
10222,.
10223,Luke
10224,Chapter
10225,13
10226,necessity
10227,penance
10228,.
10229,barren
10230,fig
10231,tree
10232,.
10233,cure
10234,infirm
10235,woman
10236,.
10237,journey
10238,Jerusalem
10239,.
10240,13:1
10241,.
10242,present
10243,","
10244,time
10245,","
10246,told
10247,Galileans
10248,","
10249,whose
10250,blood
10251,Pilate
10252,mingled
10253,sacrifice
10254,.
10255,13:2
10256,.
10257,answering
10258,","
10259,said
10260,:
10261,Think
10262,Galileans
10263,sinner
10264,men
10265,Galilee
10266,","
10267,suffered
10268,thing
10269,?
10270,13:3
10271,.
10272,","
10273,say
10274,:
10275,unless
10276,shall
10277,penance
10278,","
10279,shall
10280,likewise
10281,perish
10282,.
10283,13:4
10284,.
10285,eighteen
10286,upon
10287,tower
10288,fell
10289,Siloe
10290,slew
10291,:
10292,think
10293,also
10294,debtor
10295,men
10296,dwelt
10297,Jerusalem
10298,?
10299,13:5
10300,.
10301,","
10302,say
10303,:
10304,except
10305,penance
10306,","
10307,shall
10308,likewise
10309,perish
10310,.
10311,13:6
10312,.
10313,spoke
10314,also
10315,parable
10316,:
10317,certain
10318,man
10319,fig
10320,tree
10321,planted
10322,vineyard
10323,:
10324,came
10325,seeking
10326,fruit
10327,found
10328,none
10329,.
10330,13:7
10331,.
10332,said
10333,dresser
10334,vineyard
10335,:
10336,Behold
10337,","
10338,three
10339,year
10340,come
10341,seeking
10342,fruit
10343,fig
10344,tree
10345,find
10346,none
10347,.
10348,Cut
10349,therefore
10350,.
10351,cumbereth
10352,ground
10353,?
10354,13:8
10355,.
10356,answering
10357,","
10358,said
10359,:
10360,Lord
10361,","
10362,let
10363,alone
10364,year
10365,also
10366,","
10367,dig
10368,dung
10369,.
10370,13:9
10371,.
10372,happily
10373,bear
10374,fruit
10375,:
10376,","
10377,thou
10378,shalt
10379,cut
10380,.
10381,13:10
10382,.
10383,teaching
10384,synagogue
10385,sabbath
10386,.
10387,13:11
10388,.
10389,behold
10390,woman
10391,spirit
10392,infirmity
10393,eighteen
10394,year
10395,.
10396,bowed
10397,together
10398,:
10399,neither
10400,could
10401,look
10402,upwards
10403,.
10404,13:12
10405,.
10406,Jesus
10407,saw
10408,","
10409,called
10410,unto
10411,said
10412,:
10413,Woman
10414,","
10415,thou
10416,art
10417,delivered
10418,thy
10419,infirmity
10420,.
10421,13:13
10422,.
10423,laid
10424,hand
10425,upon
10426,:
10427,immediately
10428,made
10429,straight
10430,glorified
10431,God
10432,.
10433,13:14
10434,.
10435,ruler
10436,synagogue
10437,angry
10438,Jesus
10439,healed
10440,sabbath
10441,answering
10442,","
10443,said
10444,multitude
10445,:
10446,Six
10447,day
10448,wherein
10449,ought
10450,work
10451,.
10452,therefore
10453,come
10454,healed
10455,:
10456,sabbath
10457,day
10458,.
10459,13:15
10460,.
10461,Lord
10462,answering
10463,","
10464,said
10465,:
10466,Ye
10467,hypocrite
10468,","
10469,doth
10470,every
10471,one
10472,","
10473,sabbath
10474,day
10475,","
10476,loose
10477,ox
10478,as
10479,manger
10480,lead
10481,water
10482,?
10483,13:16
10484,.
10485,ought
10486,daughter
10487,Abraham
10488,","
10489,Satan
10490,hath
10491,bound
10492,","
10493,lo
10494,","
10495,eighteen
10496,year
10497,","
10498,loosed
10499,bond
10500,sabbath
10501,day
10502,?
10503,13:17
10504,.
10505,said
10506,thing
10507,","
10508,adversary
10509,ashamed
10510,:
10511,people
10512,rejoiced
10513,thing
10514,gloriously
10515,done
10516,.
10517,13:18
10518,.
10519,said
10520,therefore
10521,:
10522,kingdom
10523,God
10524,like
10525,","
10526,whereunto
10527,shall
10528,resemble
10529,?
10530,13:19
10531,.
10532,like
10533,grain
10534,mustard
10535,seed
10536,","
10537,man
10538,took
10539,cast
10540,garden
10541,:
10542,grew
10543,became
10544,great
10545,tree
10546,","
10547,bird
10548,air
10549,lodged
10550,branch
10551,thereof
10552,.
10553,13:20
10554,.
10555,said
10556,:
10557,Whereunto
10558,shall
10559,esteem
10560,kingdom
10561,God
10562,like
10563,?
10564,13:21
10565,.
10566,like
10567,leaven
10568,","
10569,woman
10570,took
10571,hid
10572,three
10573,measure
10574,meal
10575,","
10576,till
10577,whole
10578,leavened
10579,.
10580,13:22
10581,.
10582,went
10583,city
10584,town
10585,teaching
10586,making
10587,journey
10588,Jerusalem
10589,.
10590,13:23
10591,.
10592,certain
10593,man
10594,said
10595,:
10596,Lord
10597,","
10598,saved
10599,?
10600,said
10601,:
10602,13:24
10603,.
10604,Strive
10605,enter
10606,narrow
10607,gate
10608,:
10609,many
10610,","
10611,say
10612,","
10613,shall
10614,seek
10615,enter
10616,shall
10617,able
10618,.
10619,Shall
10620,seek
10621,","
10622,etc
10623,....
10624,Shall
10625,desire
10626,saved
10627,;
10628,want
10629,taking
10630,sufficient
10631,pain
10632,","
10633,thoroughly
10634,earnest
10635,","
10636,shall
10637,attain
10638,.
10639,13:25
10640,.
10641,master
10642,house
10643,shall
10644,gone
10645,shall
10646,shut
10647,door
10648,","
10649,shall
10650,begin
10651,stand
10652,without
10653,;
10654,knock
10655,door
10656,","
10657,saying
10658,:
10659,Lord
10660,","
10661,open
10662,u
10663,.
10664,answering
10665,","
10666,shall
10667,say
10668,:
10669,know
10670,","
10671,whence
10672,.
10673,13:26
10674,.
10675,shall
10676,begin
10677,say
10678,:
10679,eaten
10680,drunk
10681,thy
10682,presence
10683,:
10684,thou
10685,hast
10686,taught
10687,street
10688,.
10689,13:27
10690,.
10691,shall
10692,say
10693,:
10694,know
10695,","
10696,whence
10697,.
10698,Depart
10699,","
10700,ye
10701,worker
10702,iniquity
10703,.
10704,13:28
10705,.
10706,shall
10707,weeping
10708,gnashing
10709,teeth
10710,;
10711,shall
10712,see
10713,Abraham
10714,Isaac
10715,Jacob
10716,prophet
10717,","
10718,kingdom
10719,God
10720,:
10721,thrust
10722,.
10723,13:29
10724,.
10725,shall
10726,come
10727,east
10728,west
10729,north
10730,south
10731,:
10732,shall
10733,sit
10734,kingdom
10735,God
10736,.
10737,13:30
10738,.
10739,behold
10740,","
10741,last
10742,shall
10743,first
10744,:
10745,first
10746,shall
10747,last
10748,.
10749,13:31
10750,.
10751,day
10752,","
10753,came
10754,Pharisees
10755,","
10756,saying
10757,:
10758,Depart
10759,","
10760,get
10761,thee
10762,hence
10763,","
10764,Herod
10765,hath
10766,mind
10767,kill
10768,thee
10769,.
10770,13:32
10771,.
10772,said
10773,:
10774,Go
10775,tell
10776,fox
10777,:
10778,Behold
10779,","
10780,cast
10781,devil
10782,cure
10783,","
10784,to-day
10785,to-morrow
10786,","
10787,third
10788,day
10789,consummated
10790,.
10791,13:33
10792,.
10793,Nevertheless
10794,","
10795,must
10796,walk
10797,to-day
10798,to-morrow
10799,day
10800,following
10801,","
10802,prophet
10803,perish
10804,","
10805,Jerusalem
10806,.
10807,13:34
10808,.
10809,Jerusalem
10810,","
10811,Jerusalem
10812,","
10813,killest
10814,prophet
10815,;
10816,stonest
10817,sent
10818,thee
10819,","
10820,often
10821,would
10822,gathered
10823,thy
10824,child
10825,bird
10826,doth
10827,brood
10828,wing
10829,","
10830,thou
10831,wouldest
10832,?
10833,13:35
10834,.
10835,Behold
10836,house
10837,shall
10838,left
10839,desolate
10840,.
10841,say
10842,shall
10843,see
10844,till
10845,time
10846,come
10847,shall
10848,say
10849,:
10850,Blessed
10851,cometh
10852,name
10853,Lord
10854,.
10855,Luke
10856,Chapter
10857,14
10858,Christ
10859,heals
10860,dropsical
10861,man
10862,.
10863,parable
10864,supper
10865,.
10866,necessity
10867,renouncing
10868,follow
10869,Christ
10870,.
10871,14:1
10872,.
10873,came
10874,pas
10875,","
10876,Jesus
10877,went
10878,house
10879,one
10880,chief
10881,Pharisees
10882,","
10883,sabbath
10884,day
10885,","
10886,eat
10887,bread
10888,","
10889,watched
10890,.
10891,14:2
10892,.
10893,behold
10894,","
10895,certain
10896,man
10897,dropsy
10898,.
10899,14:3
10900,.
10901,Jesus
10902,answering
10903,","
10904,spoke
10905,lawyer
10906,Pharisees
10907,","
10908,saying
10909,:
10910,lawful
10911,heal
10912,sabbath
10913,day
10914,?
10915,14:4
10916,.
10917,held
10918,peace
10919,.
10920,taking
10921,","
10922,healed
10923,sent
10924,away
10925,.
10926,14:5
10927,.
10928,answering
10929,","
10930,said
10931,:
10932,shall
10933,as
10934,ox
10935,fall
10936,pit
10937,immediately
10938,draw
10939,","
10940,sabbath
10941,day
10942,?
10943,14:6
10944,.
10945,could
10946,answer
10947,thing
10948,.
10949,14:7
10950,.
10951,spoke
10952,parable
10953,also
10954,invited
10955,","
10956,marking
10957,chose
10958,first
10959,seat
10960,table
10961,","
10962,saying
10963,:
10964,14:8
10965,.
10966,thou
10967,art
10968,invited
10969,wedding
10970,","
10971,sit
10972,first
10973,place
10974,","
10975,lest
10976,perhaps
10977,one
10978,honourable
10979,thou
10980,invited
10981,:
10982,14:9
10983,.
10984,invited
10985,thee
10986,","
10987,come
10988,say
10989,thee
10990,:
10991,Give
10992,man
10993,place
10994,.
10995,thou
10996,begin
10997,shame
10998,take
10999,lowest
11000,place
11001,.
11002,14:10
11003,.
11004,thou
11005,art
11006,invited
11007,","
11008,go
11009,","
11010,sit
11011,lowest
11012,place
11013,;
11014,invited
11015,thee
11016,cometh
11017,","
11018,may
11019,say
11020,thee
11021,:
11022,Friend
11023,","
11024,go
11025,higher
11026,.
11027,shalt
11028,thou
11029,glory
11030,sit
11031,table
11032,thee
11033,.
11034,14:11
11035,.
11036,every
11037,one
11038,exalteth
11039,shall
11040,humbled
11041,:
11042,humbleth
11043,shall
11044,exalted
11045,.
11046,14:12
11047,.
11048,said
11049,also
11050,invited
11051,:
11052,thou
11053,makest
11054,dinner
11055,supper
11056,","
11057,call
11058,thy
11059,friend
11060,thy
11061,brother
11062,thy
11063,kinsman
11064,thy
11065,neighbour
11066,rich
11067,;
11068,lest
11069,perhaps
11070,also
11071,invite
11072,thee
11073,","
11074,recompense
11075,made
11076,thee
11077,.
11078,14:13
11079,.
11080,thou
11081,makest
11082,feast
11083,","
11084,call
11085,poor
11086,","
11087,maimed
11088,","
11089,lame
11090,blind
11091,.
11092,14:14
11093,.
11094,thou
11095,shalt
11096,blessed
11097,","
11098,wherewith
11099,make
11100,thee
11101,recompense
11102,:
11103,recompense
11104,shall
11105,made
11106,thee
11107,resurrection
11108,.
11109,14:15
11110,.
11111,one
11112,sat
11113,table
11114,heard
11115,thing
11116,","
11117,said
11118,:
11119,Blessed
11120,shall
11121,eat
11122,bread
11123,kingdom
11124,God
11125,.
11126,14:16
11127,.
11128,said
11129,:
11130,certain
11131,man
11132,made
11133,great
11134,supper
11135,invited
11136,many
11137,.
11138,14:17
11139,.
11140,sent
11141,servant
11142,hour
11143,supper
11144,say
11145,invited
11146,","
11147,come
11148,:
11149,thing
11150,ready
11151,.
11152,14:18
11153,.
11154,began
11155,make
11156,excuse
11157,.
11158,first
11159,said
11160,:
11161,bought
11162,farm
11163,must
11164,need
11165,go
11166,see
11167,.
11168,pray
11169,thee
11170,","
11171,hold
11172,excused
11173,.
11174,14:19
11175,.
11176,another
11177,said
11178,:
11179,bought
11180,five
11181,yoke
11182,ox
11183,go
11184,try
11185,.
11186,pray
11187,thee
11188,","
11189,hold
11190,excused
11191,.
11192,14:20
11193,.
11194,another
11195,said
11196,:
11197,married
11198,wife
11199,;
11200,therefore
11201,come
11202,.
11203,14:21
11204,.
11205,servant
11206,returning
11207,","
11208,told
11209,thing
11210,lord
11211,.
11212,master
11213,house
11214,","
11215,angry
11216,","
11217,said
11218,servant
11219,:
11220,Go
11221,quickly
11222,street
11223,lane
11224,city
11225,;
11226,bring
11227,hither
11228,poor
11229,feeble
11230,blind
11231,lame
11232,.
11233,14:22
11234,.
11235,servant
11236,said
11237,:
11238,Lord
11239,","
11240,done
11241,thou
11242,hast
11243,commanded
11244,;
11245,yet
11246,room
11247,.
11248,14:23
11249,.
11250,Lord
11251,said
11252,servant
11253,:
11254,Go
11255,highway
11256,hedge
11257,","
11258,compel
11259,come
11260,","
11261,house
11262,may
11263,filled
11264,.
11265,14:24
11266,.
11267,say
11268,unto
11269,none
11270,men
11271,invited
11272,shall
11273,taste
11274,supper
11275,.
11276,14:25
11277,.
11278,went
11279,great
11280,multitude
11281,.
11282,turning
11283,","
11284,said
11285,:
11286,14:26
11287,.
11288,man
11289,come
11290,","
11291,hate
11292,father
11293,mother
11294,wife
11295,child
11296,brother
11297,sister
11298,","
11299,yea
11300,life
11301,also
11302,","
11303,disciple
11304,.
11305,Hate
11306,","
11307,etc
11308,....
11309,law
11310,Christ
11311,allow
11312,u
11313,hate
11314,even
11315,enemy
11316,","
11317,much
11318,le
11319,parent
11320,:
11321,meaning
11322,text
11323,","
11324,must
11325,disposition
11326,soul
11327,","
11328,willing
11329,renounce
11330,","
11331,part
11332,every
11333,thing
11334,","
11335,near
11336,dear
11337,soever
11338,may
11339,u
11340,","
11341,would
11342,keep
11343,u
11344,following
11345,Christ
11346,.
11347,14:27
11348,.
11349,whosoever
11350,doth
11351,carry
11352,cross
11353,come
11354,disciple
11355,.
11356,14:28
11357,.
11358,","
11359,mind
11360,build
11361,tower
11362,","
11363,doth
11364,first
11365,sit
11366,reckon
11367,charge
11368,necessary
11369,","
11370,whether
11371,wherewithal
11372,finish
11373,:
11374,14:29
11375,.
11376,Lest
11377,","
11378,hath
11379,laid
11380,foundation
11381,able
11382,finish
11383,","
11384,see
11385,begin
11386,mock
11387,","
11388,14:30
11389,.
11390,Saying
11391,:
11392,man
11393,began
11394,build
11395,able
11396,finish
11397,.
11398,14:31
11399,.
11400,","
11401,king
11402,","
11403,go
11404,make
11405,war
11406,another
11407,king
11408,","
11409,doth
11410,first
11411,sit
11412,think
11413,whether
11414,able
11415,","
11416,ten
11417,thousand
11418,","
11419,meet
11420,","
11421,twenty
11422,thousand
11423,","
11424,cometh
11425,?
11426,14:32
11427,.
11428,else
11429,","
11430,yet
11431,afar
11432,","
11433,sending
11434,embassy
11435,","
11436,desireth
11437,condition
11438,peace
11439,.
11440,14:33
11441,.
11442,likewise
11443,every
11444,one
11445,doth
11446,renounce
11447,possesseth
11448,disciple
11449,.
11450,14:34
11451,.
11452,Salt
11453,good
11454,.
11455,salt
11456,shall
11457,lose
11458,savour
11459,","
11460,wherewith
11461,shall
11462,seasoned
11463,?
11464,14:35
11465,.
11466,neither
11467,profitable
11468,land
11469,dunghill
11470,:
11471,shall
11472,cast
11473,.
11474,hath
11475,ear
11476,hear
11477,","
11478,let
11479,hear
11480,.
11481,Luke
11482,Chapter
11483,15
11484,parable
11485,lost
11486,sheep
11487,prodigal
11488,son
11489,.
11490,15:1
11491,.
11492,publican
11493,sinner
11494,drew
11495,near
11496,unto
11497,hear
11498,.
11499,15:2
11500,.
11501,Pharisees
11502,scribe
11503,murmured
11504,","
11505,saying
11506,:
11507,man
11508,receiveth
11509,sinner
11510,eateth
11511,.
11512,15:3
11513,.
11514,spoke
11515,parable
11516,","
11517,saying
11518,:
11519,15:4
11520,.
11521,man
11522,hath
11523,hundred
11524,sheep
11525,","
11526,shall
11527,lose
11528,one
11529,","
11530,doth
11531,leave
11532,ninety-nine
11533,desert
11534,go
11535,lost
11536,","
11537,find
11538,?
11539,15:5
11540,.
11541,hath
11542,found
11543,","
11544,lay
11545,upon
11546,shoulder
11547,","
11548,rejoicing
11549,?
11550,15:6
11551,.
11552,coming
11553,home
11554,","
11555,call
11556,together
11557,friend
11558,neighbour
11559,","
11560,saying
11561,:
11562,Rejoice
11563,","
11564,found
11565,sheep
11566,lost
11567,?
11568,15:7
11569,.
11570,say
11571,even
11572,shall
11573,joy
11574,heaven
11575,upon
11576,one
11577,sinner
11578,doth
11579,penance
11580,","
11581,upon
11582,ninety-nine
11583,need
11584,penance
11585,.
11586,15:8
11587,.
11588,woman
11589,ten
11590,groat
11591,","
11592,lose
11593,one
11594,groat
11595,","
11596,doth
11597,light
11598,candle
11599,sweep
11600,house
11601,seek
11602,diligently
11603,find
11604,?
11605,15:9
11606,.
11607,hath
11608,found
11609,","
11610,call
11611,together
11612,friend
11613,neighbour
11614,","
11615,saying
11616,:
11617,Rejoice
11618,","
11619,found
11620,groat
11621,lost
11622,.
11623,15:10
11624,.
11625,say
11626,","
11627,shall
11628,joy
11629,angel
11630,God
11631,upon
11632,one
11633,sinner
11634,penance
11635,.
11636,angel
11637,....
11638,plain
11639,spirit
11640,heaven
11641,concern
11642,u
11643,","
11644,joy
11645,repentance
11646,consequently
11647,knowledge
11648,.
11649,15:11
11650,.
11651,said
11652,:
11653,certain
11654,man
11655,two
11656,son
11657,.
11658,15:12
11659,.
11660,younger
11661,said
11662,father
11663,:
11664,Father
11665,","
11666,give
11667,portion
11668,substance
11669,falleth
11670,.
11671,divided
11672,unto
11673,substance
11674,.
11675,15:13
11676,.
11677,many
11678,day
11679,","
11680,younger
11681,son
11682,","
11683,gathering
11684,together
11685,","
11686,went
11687,abroad
11688,far
11689,country
11690,:
11691,wasted
11692,substance
11693,","
11694,living
11695,riotously
11696,.
11697,15:14
11698,.
11699,spent
11700,","
11701,came
11702,mighty
11703,famine
11704,country
11705,:
11706,began
11707,want
11708,.
11709,15:15
11710,.
11711,went
11712,cleaved
11713,one
11714,citizen
11715,country
11716,.
11717,sent
11718,farm
11719,feed
11720,swine
11721,.
11722,15:16
11723,.
11724,would
11725,fain
11726,filled
11727,belly
11728,husk
11729,swine
11730,eat
11731,:
11732,man
11733,gave
11734,unto
11735,.
11736,15:17
11737,.
11738,returning
11739,","
11740,said
11741,:
11742,many
11743,hired
11744,servant
11745,father
11746,’
11747,house
11748,abound
11749,bread
11750,","
11751,perish
11752,hunger
11753,!
11754,15:18
11755,.
11756,arise
11757,go
11758,father
11759,say
11760,:
11761,Father
11762,","
11763,sinned
11764,heaven
11765,thee
11766,.
11767,15:19
11768,.
11769,worthy
11770,called
11771,thy
11772,son
11773,:
11774,make
11775,one
11776,thy
11777,hired
11778,servant
11779,.
11780,15:20
11781,.
11782,rising
11783,","
11784,came
11785,father
11786,.
11787,yet
11788,great
11789,way
11790,","
11791,father
11792,saw
11793,moved
11794,compassion
11795,running
11796,fell
11797,upon
11798,neck
11799,kissed
11800,.
11801,15:21
11802,.
11803,son
11804,said
11805,:
11806,Father
11807,:
11808,sinned
11809,heaven
11810,thee
11811,worthy
11812,called
11813,thy
11814,son
11815,.
11816,15:22
11817,.
11818,father
11819,said
11820,servant
11821,:
11822,Bring
11823,forth
11824,quickly
11825,first
11826,robe
11827,put
11828,:
11829,put
11830,ring
11831,hand
11832,shoe
11833,foot
11834,.
11835,15:23
11836,.
11837,bring
11838,hither
11839,fatted
11840,calf
11841,","
11842,kill
11843,:
11844,let
11845,u
11846,eat
11847,make
11848,merry
11849,:
11850,15:24
11851,.
11852,son
11853,dead
11854,come
11855,life
11856,","
11857,lost
11858,found
11859,.
11860,began
11861,merry
11862,.
11863,15:25
11864,.
11865,elder
11866,son
11867,field
11868,came
11869,drew
11870,nigh
11871,house
11872,","
11873,heard
11874,music
11875,dancing
11876,.
11877,15:26
11878,.
11879,called
11880,one
11881,servant
11882,","
11883,asked
11884,thing
11885,meant
11886,.
11887,15:27
11888,.
11889,said
11890,:
11891,Thy
11892,brother
11893,come
11894,thy
11895,father
11896,hath
11897,killed
11898,fatted
11899,calf
11900,","
11901,hath
11902,received
11903,safe
11904,.
11905,15:28
11906,.
11907,angry
11908,would
11909,go
11910,.
11911,father
11912,therefore
11913,coming
11914,began
11915,entreat
11916,.
11917,15:29
11918,.
11919,answering
11920,","
11921,said
11922,father
11923,:
11924,Behold
11925,","
11926,many
11927,year
11928,serve
11929,thee
11930,never
11931,transgressed
11932,thy
11933,commandment
11934,:
11935,yet
11936,thou
11937,hast
11938,never
11939,given
11940,kid
11941,make
11942,merry
11943,friend
11944,.
11945,15:30
11946,.
11947,soon
11948,thy
11949,son
11950,come
11951,","
11952,hath
11953,devoured
11954,substance
11955,harlot
11956,","
11957,thou
11958,hast
11959,killed
11960,fatted
11961,calf
11962,.
11963,15:31
11964,.
11965,said
11966,:
11967,Son
11968,","
11969,thou
11970,art
11971,always
11972,;
11973,thine
11974,.
11975,15:32
11976,.
11977,fit
11978,make
11979,merry
11980,glad
11981,:
11982,thy
11983,brother
11984,dead
11985,come
11986,life
11987,;
11988,lost
11989,","
11990,found
11991,.
11992,Luke
11993,Chapter
11994,16
11995,parable
11996,unjust
11997,steward
11998,rich
11999,man
12000,Lazarus
12001,.
12002,16:1
12003,.
12004,said
12005,also
12006,disciple
12007,:
12008,certain
12009,rich
12010,man
12011,steward
12012,:
12013,accused
12014,unto
12015,","
12016,wasted
12017,good
12018,.
12019,16:2
12020,.
12021,called
12022,said
12023,:
12024,hear
12025,thee
12026,?
12027,Give
12028,account
12029,thy
12030,stewardship
12031,:
12032,thou
12033,canst
12034,steward
12035,longer
12036,.
12037,16:3
12038,.
12039,steward
12040,said
12041,within
12042,:
12043,shall
12044,","
12045,lord
12046,taketh
12047,away
12048,stewardship
12049,?
12050,dig
12051,able
12052,;
12053,beg
12054,ashamed
12055,.
12056,16:4
12057,.
12058,know
12059,","
12060,shall
12061,removed
12062,stewardship
12063,","
12064,may
12065,receive
12066,house
12067,.
12068,16:5
12069,.
12070,Therefore
12071,","
12072,calling
12073,together
12074,every
12075,one
12076,lord
12077,’
12078,debtor
12079,","
12080,said
12081,first
12082,:
12083,much
12084,dost
12085,thou
12086,owe
12087,lord
12088,?
12089,16:6
12090,.
12091,said
12092,:
12093,hundred
12094,barrel
12095,oil
12096,.
12097,said
12098,:
12099,Take
12100,thy
12101,bill
12102,sit
12103,quickly
12104,write
12105,fifty
12106,.
12107,16:7
12108,.
12109,said
12110,another
12111,:
12112,much
12113,dost
12114,thou
12115,owe
12116,?
12117,said
12118,:
12119,hundred
12120,quarter
12121,wheat
12122,.
12123,said
12124,:
12125,Take
12126,thy
12127,bill
12128,write
12129,eighty
12130,.
12131,16:8
12132,.
12133,lord
12134,commended
12135,unjust
12136,steward
12137,","
12138,forasmuch
12139,done
12140,wisely
12141,:
12142,child
12143,world
12144,wiser
12145,generation
12146,child
12147,light
12148,.
12149,16:9
12150,.
12151,say
12152,:
12153,Make
12154,unto
12155,friend
12156,mammon
12157,iniquity
12158,:
12159,shall
12160,fail
12161,","
12162,may
12163,receive
12164,everlasting
12165,dwelling
12166,.
12167,Mammon
12168,iniquity
12169,....
12170,Mammon
12171,signifies
12172,rich
12173,.
12174,called
12175,mammon
12176,iniquity
12177,","
12178,oftentimes
12179,ill
12180,gotten
12181,","
12182,ill
12183,bestowed
12184,","
12185,occasion
12186,evil
12187,;
12188,best
12189,worldly
12190,","
12191,false
12192,;
12193,true
12194,rich
12195,Christian
12196,.
12197,may
12198,receive
12199,....
12200,see
12201,","
12202,poor
12203,servant
12204,God
12205,","
12206,relieved
12207,alms
12208,","
12209,may
12210,hereafter
12211,","
12212,intercession
12213,","
12214,bring
12215,soul
12216,heaven
12217,.
12218,16:10
12219,.
12220,faithful
12221,least
12222,faithful
12223,also
12224,greater
12225,:
12226,unjust
12227,little
12228,unjust
12229,also
12230,greater
12231,.
12232,16:11
12233,.
12234,faithful
12235,unjust
12236,mammon
12237,","
12238,trust
12239,true
12240,?
12241,16:12
12242,.
12243,faithful
12244,another
12245,’
12246,","
12247,give
12248,?
12249,16:13
12250,.
12251,servant
12252,serve
12253,two
12254,master
12255,:
12256,either
12257,hate
12258,one
12259,love
12260,:
12261,hold
12262,one
12263,despise
12264,.
12265,serve
12266,God
12267,mammon
12268,.
12269,16:14
12270,.
12271,Pharisees
12272,","
12273,covetous
12274,","
