,lemmatised_Matthew
10100,","
10101,chief
10102,foundation
10103,stone
10104,","
10105,quality
10106,chief
10107,pastor
10108,","
10109,ruler
10110,","
10111,governor
10112,;
10113,accordingly
10114,fulness
10115,ecclesiastical
10116,power
10117,","
10118,signified
10119,key
10120,kingdom
10121,heaven
10122,.
10123,Upon
10124,rock
10125,","
10126,etc
10127,....
10128,word
10129,Christ
10130,Peter
10131,","
10132,spoken
10133,vulgar
10134,language
10135,Jews
10136,Lord
10137,made
10138,use
10139,","
10140,said
10141,English
10142,","
10143,Thou
10144,art
10145,Rock
10146,","
10147,upon
10148,rock
10149,build
10150,church
10151,.
10152,","
10153,plain
10154,course
10155,word
10156,","
10157,Peter
10158,declared
10159,rock
10160,","
10161,upon
10162,church
10163,built
10164,:
10165,Christ
10166,principal
10167,foundation
10168,founder
10169,.
10170,also
10171,note
10172,","
10173,Christ
10174,","
10175,building
10176,house
10177,","
10178,","
10179,church
10180,","
10181,upon
10182,rock
10183,","
10184,thereby
10185,secured
10186,storm
10187,flood
10188,","
10189,like
10190,wise
10191,builder
10192,","
10193,St.
10194,Matt
10195,.
10196,7
10197,.
10198,24
10199,","
10200,25
10201,.
10202,gate
10203,hell
10204,","
10205,etc
10206,....
10207,","
10208,power
10209,darkness
10210,","
10211,whatever
10212,Satan
10213,","
10214,either
10215,","
10216,agent
10217,.
10218,church
10219,likened
10220,house
10221,","
10222,fortress
10223,","
10224,built
10225,rock
10226,;
10227,adverse
10228,power
10229,likened
10230,contrary
10231,house
10232,fortress
10233,","
10234,gate
10235,","
10236,","
10237,whole
10238,strength
10239,","
10240,effort
10241,make
10242,","
10243,never
10244,able
10245,prevail
10246,city
10247,church
10248,Christ
10249,.
10250,promise
10251,fully
10252,assured
10253,","
10254,neither
10255,idolatry
10256,","
10257,heresy
10258,","
10259,pernicious
10260,error
10261,whatsoever
10262,shall
10263,time
10264,prevail
10265,church
10266,Christ
10267,.
10268,16:19
10269,.
10270,give
10271,thee
10272,key
10273,kingdom
10274,heaven
10275,.
10276,whatsoever
10277,thou
10278,shalt
10279,bind
10280,upon
10281,earth
10282,","
10283,shall
10284,bound
10285,also
10286,heaven
10287,:
10288,whatsoever
10289,thou
10290,shalt
10291,loose
10292,earth
10293,","
10294,shall
10295,loosed
10296,also
10297,heaven
10298,.
10299,Loose
10300,earth
10301,....
10302,loosing
10303,band
10304,temporal
10305,punishment
10306,due
10307,sin
10308,","
10309,called
10310,indulgence
10311,;
10312,power
10313,granted
10314,.
10315,16:20
10316,.
10317,commanded
10318,disciple
10319,","
10320,tell
10321,one
10322,Jesus
10323,Christ
10324,.
10325,16:21
10326,.
10327,time
10328,Jesus
10329,began
10330,shew
10331,disciple
10332,","
10333,must
10334,go
10335,Jerusalem
10336,","
10337,suffer
10338,many
10339,thing
10340,ancient
10341,scribe
10342,chief
10343,priest
10344,","
10345,put
10346,death
10347,","
10348,third
10349,day
10350,rise
10351,.
10352,16:22
10353,.
10354,Peter
10355,taking
10356,","
10357,began
10358,rebuke
10359,","
10360,saying
10361,:
10362,Lord
10363,","
10364,far
10365,thee
10366,","
10367,shall
10368,unto
10369,thee
10370,.
10371,Peter
10372,taking
10373,....
10374,","
10375,taking
10376,aside
10377,","
10378,tender
10379,love
10380,","
10381,respect
10382,zeal
10383,Lord
10384,Master
10385,’
10386,honour
10387,","
10388,began
10389,expostulate
10390,","
10391,rebuke
10392,","
10393,saying
10394,","
10395,Lord
10396,","
10397,far
10398,thee
10399,suffer
10400,death
10401,;
10402,Lord
10403,said
10404,Peter
10405,","
10406,ver
10407,.
10408,23
10409,","
10410,Go
10411,behind
10412,","
10413,Satan
10414,.
10415,word
10416,may
10417,signify
10418,","
10419,Begone
10420,;
10421,holy
10422,Fathers
10423,expound
10424,otherwise
10425,","
10426,","
10427,come
10428,","
10429,follow
10430,;
10431,word
10432,Lord
10433,would
10434,Peter
10435,follow
10436,suffering
10437,","
10438,oppose
10439,divine
10440,contradiction
10441,;
10442,word
10443,satan
10444,mean
10445,Hebrew
10446,adversary
10447,","
10448,one
10449,opposes
10450,.
10451,16:23.
10452,turning
10453,","
10454,said
10455,Peter
10456,:
10457,Go
10458,behind
10459,","
10460,Satan
10461,","
10462,thou
10463,art
10464,scandal
10465,unto
10466,:
10467,thou
10468,savourest
10469,thing
10470,God
10471,","
10472,thing
10473,men
10474,.
10475,16:24
10476,.
10477,Jesus
10478,said
10479,disciple
10480,:
10481,man
10482,come
10483,","
10484,let
10485,deny
10486,","
10487,take
10488,cross
10489,","
10490,follow
10491,.
10492,16:25
10493,.
10494,save
10495,life
10496,","
10497,shall
10498,lose
10499,:
10500,shall
10501,lose
10502,life
10503,sake
10504,","
10505,shall
10506,find
10507,.
10508,16:26
10509,.
10510,doth
10511,profit
10512,man
10513,","
10514,gain
10515,whole
10516,world
10517,suffer
10518,loss
10519,soul
10520,?
10521,exchange
10522,shall
10523,man
10524,give
10525,soul
10526,?
10527,16:27
10528,.
10529,Son
10530,man
10531,shall
10532,come
10533,glory
10534,Father
10535,angel
10536,:
10537,render
10538,every
10539,man
10540,according
10541,work
10542,.
10543,16:28
10544,.
10545,Amen
10546,say
10547,","
10548,stand
10549,","
10550,shall
10551,taste
10552,death
10553,","
10554,till
10555,see
10556,Son
10557,man
10558,coming
10559,kingdom
10560,.
10561,Matthew
10562,Chapter
10563,17
10564,Transfiguration
10565,Christ
10566,:
10567,cure
10568,lunatic
10569,child
10570,:
10571,foretells
10572,passion
10573,;
10574,pay
10575,didrachma
10576,.
10577,17:1
10578,.
10579,six
10580,day
10581,Jesus
10582,taketh
10583,unto
10584,Peter
10585,James
10586,","
10587,John
10588,brother
10589,","
10590,bringeth
10591,high
10592,mountain
10593,apart
10594,:
10595,17:2
10596,.
10597,transfigured
10598,.
10599,face
10600,shine
10601,sun
10602,:
10603,garment
10604,became
10605,white
10606,snow
10607,.
10608,17:3
10609,.
10610,behold
10611,appeared
10612,Moses
10613,Elias
10614,talking
10615,.
10616,17:4
10617,.
10618,Peter
10619,answering
10620,","
10621,said
10622,Jesus
10623,:
10624,Lord
10625,","
10626,good
10627,u
10628,:
10629,thou
10630,wilt
10631,","
10632,let
10633,u
10634,make
10635,three
10636,tabernacle
10637,","
10638,one
10639,thee
10640,","
10641,one
10642,Moses
10643,","
10644,one
10645,Elias
10646,.
10647,17:5
10648,.
10649,yet
10650,speaking
10651,","
10652,behold
10653,bright
10654,cloud
10655,overshadowed
10656,.
10657,lo
10658,voice
10659,cloud
10660,","
10661,saying
10662,:
10663,beloved
10664,Son
10665,","
10666,well
10667,pleased
10668,:
10669,hear
10670,ye
10671,.
10672,17:6
10673,.
10674,disciple
10675,hearing
10676,fell
10677,upon
10678,face
10679,","
10680,much
10681,afraid
10682,.
10683,17:7
10684,.
10685,Jesus
10686,came
10687,touched
10688,:
10689,said
10690,:
10691,Arise
10692,","
10693,fear
10694,.
10695,17:8
10696,.
10697,lifting
10698,eye
10699,","
10700,saw
10701,one
10702,","
10703,Jesus
10704,.
10705,17:9
10706,.
10707,came
10708,mountain
10709,","
10710,Jesus
10711,charged
10712,","
10713,saying
10714,:
10715,Tell
10716,vision
10717,man
10718,","
10719,till
10720,Son
10721,man
10722,risen
10723,dead
10724,.
10725,17:10
10726,.
10727,disciple
10728,asked
10729,","
10730,saying
10731,:
10732,scribe
10733,say
10734,Elias
10735,must
10736,come
10737,first
10738,?
10739,17:11
10740,.
10741,answering
10742,","
10743,said
10744,:
10745,Elias
10746,indeed
10747,shall
10748,come
10749,","
10750,restore
10751,thing
10752,.
10753,17:12
10754,.
10755,say
10756,","
10757,Elias
10758,already
10759,come
10760,","
10761,knew
10762,","
10763,done
10764,unto
10765,whatsoever
10766,mind
10767,.
10768,also
10769,Son
10770,man
10771,shall
10772,suffer
10773,.
10774,17:13
10775,.
10776,disciple
10777,understood
10778,","
10779,spoken
10780,John
10781,Baptist
10782,.
10783,17:14
10784,.
10785,come
10786,multitude
10787,","
10788,came
10789,man
10790,falling
10791,knee
10792,saying
10793,:
10794,Lord
10795,","
10796,pity
10797,son
10798,","
10799,lunatic
10800,","
10801,suffereth
10802,much
10803,:
10804,falleth
10805,often
10806,fire
10807,","
10808,often
10809,water
10810,.
10811,17:15
10812,.
10813,brought
10814,thy
10815,disciple
10816,","
10817,could
10818,cure
10819,.
10820,17:16
10821,.
10822,Jesus
10823,answered
10824,said
10825,:
10826,unbelieving
10827,perverse
10828,generation
10829,","
10830,long
10831,shall
10832,?
10833,long
10834,shall
10835,suffer
10836,?
10837,Bring
10838,hither
10839,.
10840,17:17
10841,.
10842,Jesus
10843,rebuked
10844,","
10845,devil
10846,went
10847,","
10848,child
10849,cured
10850,hour
10851,.
10852,17:18
10853,.
10854,came
10855,disciple
10856,Jesus
10857,secretly
10858,","
10859,said
10860,:
10861,could
10862,cast
10863,?
10864,17:19
10865,.
10866,Jesus
10867,said
10868,:
10869,unbelief
10870,.
10871,","
10872,amen
10873,say
10874,","
10875,faith
10876,grain
10877,mustard
10878,seed
10879,","
10880,shall
10881,say
10882,mountain
10883,:
10884,Remove
10885,hence
10886,hither
10887,","
10888,shall
10889,remove
10890,:
10891,nothing
10892,shall
10893,impossible
10894,.
10895,grain
10896,mustard
10897,seed
10898,....
10899,","
10900,perfect
10901,faith
10902,;
10903,property
10904,","
10905,fruit
10906,","
10907,resembles
10908,grain
10909,mustard
10910,seed
10911,","
10912,parable
10913,","
10914,chap
10915,.
10916,13
10917,.
10918,31
10919,.
10920,17:20
10921,.
10922,kind
10923,cast
10924,prayer
10925,fasting
10926,.
10927,17:21
10928,.
10929,abode
10930,together
10931,Galilee
10932,","
10933,Jesus
10934,said
10935,:
10936,Son
10937,man
10938,shall
10939,betrayed
10940,hand
10941,men
10942,:
10943,17:22
10944,.
10945,shall
10946,kill
10947,","
10948,third
10949,day
10950,shall
10951,rise
10952,.
10953,troubled
10954,exceedingly
10955,.
10956,17:23
10957,.
10958,come
10959,Capharnaum
10960,","
10961,received
10962,didrachmas
10963,","
10964,came
10965,Peter
10966,","
10967,said
10968,:
10969,Doth
10970,master
10971,pay
10972,didrachma
10973,?
10974,didrachmas
10975,....
10976,didrachma
10977,half
10978,sicle
10979,","
10980,half
10981,stater
10982,;
10983,","
10984,15d
10985,.
10986,English
10987,:
10988,tax
10989,laid
10990,upon
10991,every
10992,head
10993,service
10994,temple
10995,.
10996,17:24
10997,.
10998,said
10999,:
11000,Yes
11001,.
11002,come
11003,house
11004,","
11005,Jesus
11006,prevented
11007,","
11008,saying
11009,:
11010,thy
11011,opinion
11012,","
11013,Simon
11014,?
11015,king
11016,earth
11017,","
11018,receive
11019,tribute
11020,custom
11021,","
11022,child
11023,","
11024,stranger
11025,?
11026,17:25
11027,.
11028,said
11029,:
11030,stranger
11031,.
11032,Jesus
11033,said
11034,:
11035,child
11036,free
11037,.
11038,17:26
11039,.
11040,may
11041,scandalize
11042,","
11043,go
11044,sea
11045,","
11046,cast
11047,hook
11048,:
11049,fish
11050,shall
11051,first
11052,come
11053,","
11054,take
11055,:
11056,thou
11057,hast
11058,opened
11059,mouth
11060,","
11061,thou
11062,shalt
11063,find
11064,stater
11065,:
11066,take
11067,","
11068,give
11069,thee
11070,.
11071,Matthew
11072,Chapter
11073,18
11074,Christ
11075,teach
11076,humility
11077,","
11078,beware
11079,scandal
11080,","
11081,flee
11082,occasion
11083,sin
11084,:
11085,denounce
11086,church
11087,incorrigible
11088,sinner
11089,","
11090,look
11091,upon
11092,refuse
11093,hear
11094,church
11095,heathen
11096,.
11097,promise
11098,disciple
11099,power
11100,binding
11101,loosing
11102,:
11103,midst
11104,assembly
11105,.
11106,forgiveness
11107,forgive
11108,.
11109,18:1
11110,.
11111,hour
11112,disciple
11113,came
11114,Jesus
11115,","
11116,saying
11117,:
11118,","
11119,thinkest
11120,thou
11121,","
11122,greater
11123,kingdom
11124,heaven
11125,?
11126,18:2
11127,.
11128,Jesus
11129,","
11130,calling
11131,unto
11132,little
11133,child
11134,","
11135,set
11136,midst
11137,.
11138,18:3
11139,.
11140,said
11141,:
11142,amen
11143,say
11144,","
11145,unless
11146,converted
11147,","
11148,become
11149,little
11150,child
11151,","
11152,shall
11153,enter
11154,kingdom
11155,heaven
11156,.
11157,18:4
11158,.
11159,Whosoever
11160,therefore
11161,shall
11162,humble
11163,little
11164,child
11165,","
11166,greater
11167,kingdom
11168,heaven
11169,.
11170,18:5
11171,.
11172,shall
11173,receive
11174,one
11175,little
11176,child
11177,name
11178,","
11179,receiveth
11180,.
11181,18:6
11182,.
11183,shall
11184,scandalize
11185,one
11186,little
11187,one
11188,believe
11189,","
11190,better
11191,millstone
11192,hanged
11193,neck
11194,","
11195,drowned
11196,depth
11197,sea
11198,.
11199,Shall
11200,scandalize
11201,....
11202,","
11203,shall
11204,put
11205,stumblingblock
11206,way
11207,","
11208,cause
11209,fall
11210,sin
11211,.
11212,18:7
11213,.
11214,Woe
11215,world
11216,scandal
11217,.
11218,must
11219,need
11220,scandal
11221,come
11222,:
11223,nevertheless
11224,woe
11225,man
11226,scandal
11227,cometh
11228,.
11229,must
11230,need
11231,","
11232,etc
11233,....
11234,Viz.
11235,","
11236,considering
11237,wickedness
11238,corruption
11239,world
11240,.
11241,18:8
11242,.
11243,thy
11244,hand
11245,","
11246,thy
11247,foot
11248,","
11249,scandalize
11250,thee
11251,","
11252,cut
11253,","
11254,cast
11255,thee
11256,.
11257,better
11258,thee
11259,go
11260,life
11261,maimed
11262,lame
11263,","
11264,two
11265,hand
11266,two
11267,foot
11268,","
11269,cast
11270,everlasting
11271,fire
11272,.
11273,Scandalize
11274,thee
11275,....
11276,","
11277,cause
11278,thee
11279,offend
11280,.
11281,18:9
11282,.
11283,thy
11284,eye
11285,scandalize
11286,thee
11287,","
11288,pluck
11289,","
11290,cast
11291,thee
11292,.
11293,better
11294,thee
11295,one
11296,eye
11297,enter
11298,life
11299,","
11300,two
11301,eye
11302,cast
11303,hell
11304,fire
11305,.
11306,18:10
11307,.
11308,See
11309,despise
11310,one
11311,little
11312,one
11313,:
11314,say
11315,","
11316,angel
11317,heaven
11318,always
11319,see
11320,face
11321,Father
11322,heaven
11323,.
11324,18:11
11325,.
11326,Son
11327,man
11328,come
11329,save
11330,lost
11331,.
11332,18:12
11333,.
11334,think
11335,?
11336,man
11337,hundred
11338,sheep
11339,","
11340,one
11341,go
11342,astray
11343,:
11344,doth
11345,leave
11346,ninety-nine
11347,mountain
11348,","
11349,go
11350,seek
11351,gone
11352,astray
11353,?
11354,18:13
11355,.
11356,find
11357,:
11358,Amen
11359,say
11360,","
11361,rejoiceth
11362,","
11363,ninety-nine
11364,went
11365,astray
11366,.
11367,18:14
11368,.
11369,Even
11370,Father
11371,","
11372,heaven
11373,","
11374,one
11375,little
11376,one
11377,perish
11378,.
11379,18:15
11380,.
11381,thy
11382,brother
11383,shall
11384,offend
11385,thee
11386,","
11387,go
11388,","
11389,rebuke
11390,thee
11391,alone
11392,.
11393,shall
11394,hear
11395,thee
11396,","
11397,thou
11398,shalt
11399,gain
11400,thy
11401,brother
11402,.
11403,18:16
11404,.
11405,hear
11406,thee
11407,","
11408,take
11409,thee
11410,one
11411,two
11412,:
11413,mouth
11414,two
11415,three
11416,witness
11417,every
11418,word
11419,may
11420,stand
11421,.
11422,18:17
11423,.
11424,hear
11425,:
11426,tell
11427,church
11428,.
11429,hear
11430,church
11431,","
11432,let
11433,thee
11434,heathen
11435,publican
11436,.
11437,18:18
11438,.
11439,Amen
11440,say
11441,","
11442,whatsoever
11443,shall
11444,bind
11445,upon
11446,earth
11447,","
11448,shall
11449,bound
11450,also
11451,heaven
11452,:
11453,whatsoever
11454,shall
11455,loose
11456,upon
11457,earth
11458,","
11459,shall
11460,loosed
11461,also
11462,heaven
11463,.
11464,18:19
11465,.
11466,say
11467,","
11468,two
11469,shall
11470,consent
11471,upon
11472,earth
11473,","
11474,concerning
11475,anything
11476,whatsoever
11477,shall
11478,ask
11479,","
11480,shall
11481,done
11482,Father
11483,heaven
11484,.
11485,18:20
11486,.
11487,two
11488,three
11489,gathered
11490,together
11491,name
11492,","
11493,midst
11494,.
11495,midst
11496,....
11497,understood
11498,assembly
11499,gathered
11500,name
11501,authority
11502,Christ
11503,;
11504,unity
11505,church
11506,Christ
11507,.
11508,St.
11509,Cyprian
11510,","
11511,De
11512,Unitate
11513,Ecclesiae
11514,.
11515,18:21
11516,.
11517,came
11518,Peter
11519,unto
11520,said
11521,:
11522,Lord
11523,","
11524,often
11525,shall
11526,brother
11527,offend
11528,","
11529,forgive
11530,?
11531,till
11532,seven
11533,time
11534,?
11535,18:22
11536,.
11537,Jesus
11538,saith
11539,:
11540,say
11541,thee
11542,","
11543,till
11544,seven
11545,time
11546,;
11547,till
11548,seventy
11549,time
11550,seven
11551,time
11552,.
11553,18:23
11554,.
11555,Therefore
11556,kingdom
11557,heaven
11558,likened
11559,king
11560,","
11561,would
11562,take
11563,account
11564,servant
11565,.
11566,18:24
11567,.
11568,begun
11569,take
11570,account
11571,","
11572,one
11573,brought
11574,","
11575,owed
11576,ten
11577,thousand
11578,talent
11579,.
11580,Talents
11581,....
11582,talent
11583,seven
11584,hundred
11585,fifty
11586,ounce
11587,silver
11588,","
11589,rate
11590,five
11591,shilling
11592,ounce
11593,hundred
11594,eighty-seven
11595,pound
11596,ten
11597,shilling
11598,sterling
11599,.
11600,18:25
11601,.
11602,wherewith
11603,pay
11604,","
11605,lord
11606,commanded
11607,sold
11608,","
11609,wife
11610,child
11611,","
11612,","
11613,payment
11614,made
11615,.
11616,18:26
11617,.
11618,servant
11619,falling
11620,","
11621,besought
11622,","
11623,saying
11624,:
11625,patience
11626,","
11627,pay
11628,thee
11629,.
11630,18:27
11631,.
11632,lord
11633,servant
11634,moved
11635,pity
11636,","
11637,let
11638,go
11639,forgave
11640,debt
11641,.
11642,18:28
11643,.
11644,servant
11645,gone
11646,","
11647,found
11648,one
11649,fellow-servants
11650,owed
11651,hundred
11652,penny
11653,:
11654,laying
11655,hold
11656,","
11657,throttled
11658,","
11659,saying
11660,:
11661,Pay
11662,thou
11663,owest
11664,.
11665,Pence
11666,....
11667,Roman
11668,penny
11669,eighth
11670,part
11671,ounce
11672,","
11673,","
11674,sevenpence
11675,half-penny
11676,English
11677,.
11678,18:29
11679,.
11680,fellow-servant
11681,falling
11682,","
11683,besought
11684,","
11685,saying
11686,:
11687,patience
11688,","
11689,pay
11690,thee
11691,.
11692,18:30
11693,.
11694,would
11695,:
11696,went
11697,cast
11698,prison
11699,","
11700,till
11701,paid
11702,debt
11703,.
11704,18:31
11705,.
11706,fellow
11707,servant
11708,seeing
11709,done
11710,","
11711,much
11712,grieved
11713,","
11714,came
11715,","
11716,told
11717,lord
11718,done
11719,.
11720,18:32
11721,.
11722,lord
11723,called
11724,:
11725,said
11726,:
11727,Thou
11728,wicked
11729,servant
11730,","
11731,forgave
11732,thee
11733,debt
11734,","
11735,thou
11736,besoughtest
11737,:
11738,18:33
11739,.
11740,Shouldst
11741,thou
11742,compassion
11743,also
11744,thy
11745,fellow
11746,servant
11747,","
11748,even
11749,compassion
11750,thee
11751,?
11752,18:34
11753,.
11754,lord
11755,angry
11756,","
11757,delivered
11758,torturer
11759,paid
11760,debt
11761,.
11762,18:35
11763,.
11764,also
11765,shall
11766,heavenly
11767,Father
11768,","
11769,forgive
11770,every
11771,one
11772,brother
11773,heart
11774,.
11775,Matthew
11776,Chapter
11777,19
11778,Christ
11779,declares
11780,matrimony
11781,indissoluble
11782,:
11783,recommends
11784,making
11785,one
11786,’
11787,self
11788,eunuch
11789,kingdom
11790,heaven
11791,;
11792,parting
11793,thing
11794,.
11795,shews
11796,danger
11797,rich
11798,","
11799,reward
11800,leaving
11801,follow
11802,.
11803,19:1
11804,.
11805,came
11806,pas
11807,Jesus
11808,ended
11809,word
11810,","
11811,departed
11812,Galilee
11813,came
11814,coast
11815,Judea
11816,","
11817,beyond
11818,Jordan
11819,.
11820,19:2
11821,.
11822,great
11823,multitude
11824,followed
11825,:
11826,healed
11827,.
11828,19:3
11829,.
11830,came
11831,Pharisees
11832,tempting
11833,","
11834,saying
11835,:
11836,lawful
11837,man
11838,put
11839,away
11840,wife
11841,every
11842,cause
11843,?
11844,19:4.
11845,answering
11846,","
11847,said
11848,:
11849,ye
11850,read
11851,","
11852,made
11853,man
11854,beginning
11855,","
11856,made
11857,male
11858,female
11859,?
11860,said
11861,:
11862,19:5
11863,.
11864,cause
11865,shall
11866,man
11867,leave
11868,father
11869,mother
11870,","
11871,shall
11872,cleave
11873,wife
11874,","
11875,two
11876,shall
11877,one
11878,flesh
11879,.
11880,19:6
11881,.
11882,Therefore
11883,two
11884,","
11885,one
11886,flesh
11887,.
11888,therefore
11889,God
11890,hath
11891,joined
11892,together
11893,","
11894,let
11895,man
11896,put
11897,asunder
11898,.
11899,19:7
11900,.
11901,say
11902,:
11903,Moses
11904,command
11905,give
11906,bill
11907,divorce
11908,","
11909,put
11910,away
11911,?
11912,19:8
11913,.
11914,saith
11915,:
11916,Moses
11917,reason
11918,hardness
11919,heart
11920,permitted
11921,put
11922,away
11923,wife
11924,:
11925,beginning
11926,.
11927,19:9
11928,.
11929,say
11930,","
11931,whosoever
11932,shall
11933,put
11934,away
11935,wife
11936,","
11937,except
11938,fornication
11939,","
11940,shall
11941,marry
11942,another
11943,","
11944,committeth
11945,adultery
11946,:
11947,shall
11948,marry
11949,put
11950,away
11951,","
11952,committeth
11953,adultery
11954,.
11955,Except
11956,","
11957,etc
11958,....
11959,case
11960,fornication
11961,","
11962,","
11963,adultery
11964,","
11965,wife
11966,may
11967,put
11968,away
11969,:
11970,even
11971,husband
11972,marry
11973,another
11974,long
11975,wife
11976,living
11977,.
11978,19:10
11979,.
11980,disciple
11981,say
11982,unto
11983,:
11984,case
11985,man
11986,wife
11987,","
11988,expedient
11989,marry
11990,.
11991,19:11.
11992,said
11993,:
11994,men
11995,take
11996,word
11997,","
11998,given
11999,.
12000,men
12001,take
12002,word
12003,....
12004,","
12005,receive
12006,gift
12007,living
12008,singly
12009,chastely
12010,","
12011,unless
12012,pray
12013,grace
12014,God
12015,enable
12016,live
12017,","
12018,may
12019,necessary
12020,end
12021,fast
12022,well
12023,pray
12024,:
12025,given
12026,.
12027,19:12
12028,.
12029,eunuch
12030,","
12031,born
12032,mother
12033,’
12034,womb
12035,:
12036,eunuch
12037,","
12038,made
12039,men
12040,:
12041,eunuch
12042,","
12043,made
12044,eunuch
12045,kingdom
12046,heaven
12047,.
12048,take
12049,","
12050,let
12051,take
12052,.
12053,eunuch
12054,","
12055,made
12056,eunuch
12057,","
12058,kingdom
12059,heaven
12060,....
12061,text
12062,taken
12063,literal
12064,sense
12065,;
12066,mean
12067,","
12068,","
12069,taken
12070,firm
12071,commendable
12072,resolution
12073,leading
12074,single
12075,chaste
12076,life
12077,","
12078,order
12079,serve
12080,God
12081,perfect
12082,state
12083,marry
12084,:
12085,St.
12086,Paul
12087,clearly
12088,shews
12089,.
12090,1
12091,Cor
12092,.
12093,7
12094,.
12095,37
12096,","
12097,38
12098,.
12099,19:13
12100,.
12101,little
12102,child
12103,presented
12104,","
12105,impose
12106,hand
12107,upon
12108,pray
12109,.
12110,disciple
12111,rebuked
12112,.
12113,19:14
12114,.
12115,Jesus
12116,said
12117,:
12118,Suffer
12119,little
12120,child
12121,","
12122,forbid
12123,come
12124,:
12125,kingdom
12126,heaven
12127,.
12128,19:15
12129,.
12130,imposed
12131,hand
12132,upon
12133,","
12134,departed
12135,thence
12136,.
12137,19:16
12138,.
12139,behold
12140,one
12141,came
12142,said
12143,:
12144,Good
12145,master
12146,","
12147,good
12148,shall
12149,may
12150,life
12151,everlasting
12152,?
12153,19:17.
12154,said
12155,:
12156,askest
12157,thou
12158,concerning
12159,good
12160,?
12161,One
12162,good
12163,","
12164,God
12165,.
12166,thou
12167,wilt
12168,enter
12169,life
12170,","
12171,keep
12172,commandment
12173,.
12174,19:18
12175,.
12176,said
12177,:
12178,?
12179,Jesus
12180,said
12181,:
12182,Thou
12183,shalt
12184,murder
12185,","
12186,Thou
12187,shalt
12188,commit
12189,adultery
12190,","
12191,Thou
12192,shalt
12193,steal
12194,","
12195,Thou
12196,shalt
12197,bear
12198,false
12199,witness
12200,.
12201,19:19
12202,.
12203,Honour
12204,thy
12205,father
12206,thy
12207,mother
12208,:
12209,","
12210,Thou
12211,shalt
12212,love
12213,thy
12214,neighbor
12215,thyself
12216,.
12217,19:20
12218,.
12219,young
12220,man
12221,saith
12222,:
12223,kept
12224,youth
12225,","
12226,yet
12227,wanting
12228,?
12229,19:21
12230,.
12231,Jesus
12232,saith
12233,:
12234,thou
12235,wilt
12236,perfect
12237,","
12238,go
12239,sell
12240,thou
12241,hast
12242,","
12243,give
12244,poor
12245,","
12246,thou
12247,shalt
12248,treasure
12249,heaven
12250,:
12251,come
12252,","
12253,follow
12254,.
12255,19:22
12256,.
12257,young
12258,man
12259,heard
12260,word
12261,","
12262,went
12263,away
12264,sad
12265,:
12266,great
12267,possession
12268,.
12269,19:23
12270,.
12271,Jesus
12272,said
12273,disciple
12274,:
12275,Amen
12276,","
12277,say
12278,","
12279,rich
12280,man
12281,shall
12282,hardly
12283,enter
12284,kingdom
12285,heaven
12286,.
12287,19:24
12288,.
12289,say
12290,:
12291,easier
12292,camel
12293,pas
12294,eye
12295,needle
12296,","
12297,rich
12298,man
12299,enter
12300,kingdom
12301,heaven
12302,.
12303,19:25
12304,.
12305,heard
12306,","
12307,disciple
12308,wondered
12309,much
12310,","
12311,saying
12312,:
12313,saved
12314,?
12315,19:26
12316,.
12317,Jesus
12318,beholding
12319,","
12320,said
12321,:
12322,men
12323,impossible
12324,:
12325,God
12326,thing
12327,possible
12328,.
12329,19:27
12330,.
12331,Peter
12332,answering
12333,","
12334,said
12335,:
12336,Behold
12337,left
12338,thing
12339,","
12340,followed
12341,thee
12342,:
12343,therefore
12344,shall
12345,?
12346,19:28
12347,.
12348,Jesus
12349,said
12350,:
12351,Amen
12352,say
12353,","
12354,followed
12355,","
12356,regeneration
12357,","
12358,Son
12359,man
12360,shall
12361,sit
12362,seat
12363,majesty
12364,","
12365,also
12366,shall
12367,sit
12368,twelve
12369,seat
12370,judging
12371,twelve
12372,tribe
12373,Israel
12374,.
12375,19:29
12376,.
12377,every
12378,one
12379,hath
12380,left
12381,house
12382,","
12383,brother
12384,","
12385,sister
12386,","
12387,father
12388,","
12389,mother
12390,","
12391,wife
12392,","
12393,child
12394,","
12395,land
12396,name
12397,’
12398,sake
12399,","
12400,shall
12401,receive
12402,hundredfold
12403,","
12404,shall
12405,posse
12406,life
12407,everlasting
12408,.
12409,19:30
12410,.
12411,many
12412,first
12413,","
12414,shall
12415,last
12416,:
12417,last
12418,shall
12419,first
12420,.
12421,Matthew
12422,Chapter
12423,20
12424,parable
12425,labourer
12426,vineyard
12427,.
12428,ambition
12429,two
12430,son
12431,Zebedee
12432,.
12433,Christ
12434,give
12435,sight
12436,two
12437,blind
12438,men
12439,.
12440,20:1
12441,.
12442,kingdom
12443,heaven
12444,like
12445,householder
12446,","
12447,went
12448,early
12449,morning
12450,hire
12451,labourer
12452,vineyard
12453,.
12454,20:2
12455,.
12456,agreed
12457,labourer
12458,penny
12459,day
12460,","
12461,sent
12462,vineyard
12463,.
12464,20:3
12465,.
12466,going
12467,third
12468,hour
12469,","
12470,saw
12471,others
12472,standing
12473,marketplace
12474,idle
12475,.
12476,20:4
12477,.
12478,said
12479,:
12480,Go
12481,also
12482,vineyard
12483,","
12484,give
12485,shall
12486,.
12487,20:5
12488,.
12489,went
12490,way
12491,.
12492,went
12493,sixth
12494,ninth
12495,hour
12496,","
12497,like
12498,manner
12499,.
12500,20:6
12501,.
