,lemmatised_Matthew
1071,dwelt
1072,city
1073,called
1074,Nazareth
1075,:
1076,might
1077,fulfilled
1078,said
1079,prophet
1080,:
1081,shall
1082,called
1083,Nazarene
1084,.
1085,Matthew
1086,Chapter
1087,3
1088,preaching
1089,John
1090,:
1091,Christ
1092,baptized
1093,.
1094,3:1
1095,.
1096,day
1097,cometh
1098,John
1099,Baptist
1100,preaching
1101,desert
1102,Judea
1103,.
1104,3:2
1105,.
1106,saying
1107,:
1108,penance
1109,:
1110,kingdom
1111,heaven
1112,hand
1113,.
1114,penance
1115,....
1116,Paenitentiam
1117,agite
1118,.
1119,word
1120,","
1121,according
1122,use
1123,scripture
1124,holy
1125,father
1126,","
1127,signify
1128,repentance
1129,amendment
1130,life
1131,","
1132,also
1133,punishing
1134,past
1135,sin
1136,fasting
1137,","
1138,like
1139,penitential
1140,exercise
1141,.
1142,3:3
1143,.
1144,spoken
1145,Isaias
1146,prophet
1147,","
1148,saying
1149,:
1150,voice
1151,one
1152,cry
1153,desert
1154,","
1155,Prepare
1156,ye
1157,way
1158,Lord
1159,","
1160,make
1161,straight
1162,path
1163,.
1164,3:4
1165,.
1166,John
1167,garment
1168,camel
1169,’
1170,hair
1171,","
1172,leathern
1173,girdle
1174,loin
1175,:
1176,meat
1177,locust
1178,wild
1179,honey
1180,.
1181,3:5
1182,.
1183,went
1184,Jerusalem
1185,Judea
1186,","
1187,country
1188,Jordan
1189,:
1190,3:6
1191,.
1192,baptized
1193,Jordan
1194,","
1195,confessing
1196,sin
1197,.
1198,3:7
1199,.
1200,seeing
1201,many
1202,Pharisees
1203,Sadducees
1204,coming
1205,baptism
1206,","
1207,said
1208,:
1209,Ye
1210,brood
1211,viper
1212,","
1213,hath
1214,shewed
1215,flee
1216,wrath
1217,come
1218,?
1219,Pharisees
1220,Sadducees
1221,....
1222,two
1223,sect
1224,among
1225,Jews
1226,:
1227,former
1228,part
1229,notorious
1230,hypocrite
1231,;
1232,latter
1233,","
1234,kind
1235,freethinker
1236,matter
1237,religion
1238,.
1239,3:8
1240,.
1241,Bring
1242,forth
1243,therefore
1244,fruit
1245,worthy
1246,penance
1247,.
1248,3:9
1249,.
1250,think
1251,say
1252,within
1253,","
1254,Abraham
1255,father
1256,.
