,lemmatised_John
1134,dove
1135,said
1136,:
1137,Take
1138,thing
1139,hence
1140,","
1141,make
1142,house
1143,Father
1144,house
1145,traffic
1146,.
1147,2:17
1148,.
1149,disciple
1150,remembered
1151,","
1152,written
1153,:
1154,zeal
1155,thy
1156,house
1157,hath
1158,eaten
1159,.
1160,2:18
1161,.
1162,Jews
1163,","
1164,therefore
1165,","
1166,answered
1167,","
1168,said
1169,:
1170,sign
1171,dost
1172,thou
1173,shew
1174,unto
1175,u
1176,","
1177,seeing
1178,thou
1179,dost
1180,thing
1181,?
1182,2:19
1183,.
1184,Jesus
1185,answered
1186,said
1187,:
1188,Destroy
1189,temple
1190,;
1191,three
1192,day
1193,raise
1194,.
1195,2:20
1196,.
1197,Jews
1198,said
1199,:
1200,Six
1201,forty
1202,year
1203,temple
1204,building
1205,;
1206,wilt
1207,thou
1208,raise
1209,three
1210,day
1211,?
1212,2:21
1213,.
1214,spoke
1215,temple
1216,body
1217,.
1218,2:22
1219,.
1220,therefore
1221,risen
1222,dead
1223,","
1224,disciple
1225,remembered
1226,said
1227,:
1228,believed
1229,scripture
1230,word
1231,Jesus
1232,said
1233,.
1234,2:23
1235,.
1236,Jerusalem
1237,","
1238,pasch
1239,","
1240,upon
1241,festival
1242,day
1243,","
1244,many
1245,believed
1246,name
1247,","
1248,seeing
1249,sign
1250,.
1251,2:24
1252,.
1253,Jesus
1254,trust
1255,unto
1256,:
1257,knew
1258,men
1259,","
1260,2:25
1261,.
1262,needed
1263,give
1264,testimony
1265,man
1266,:
1267,knew
1268,man
1269,.
1270,John
1271,Chapter
1272,3
1273,Christ
1274,’
1275,discourse
1276,Nicodemus
1277,.
1278,John
1279,’
1280,testimony
1281,.
1282,3:1
1283,.
1284,man
1285,Pharisees
1286,","
1287,named
1288,Nicodemus
1289,","
1290,ruler
1291,Jews
1292,.
1293,3:2
1294,.
1295,man
1296,came
1297,Jesus
1298,night
1299,said
1300,:
1301,Rabbi
1302,","
1303,know
1304,thou
1305,art
1306,come
1307,teacher
1308,God
1309,;
1310,man
1311,sign
1312,thou
1313,dost
1314,","
1315,unless
1316,God
1317,.
1318,3:3
1319,.
1320,Jesus
1321,answered
1322,said
1323,:
1324,Amen
1325,","
1326,amen
1327,","
1328,say
1329,thee
1330,","
1331,unless
1332,man
1333,born
1334,","
1335,see
1336,kingdom
1337,God
1338,.
1339,3:4
1340,.
1341,Nicodemus
1342,saith
1343,:
1344,man
1345,born
1346,old
1347,?
1348,enter
1349,second
1350,time
1351,mother
1352,’
1353,womb
1354,born
1355,?
1356,3:5
1357,.
1358,Jesus
1359,answered
1360,:
1361,Amen
1362,","
1363,amen
1364,","
1365,say
1366,thee
1367,","
1368,unless
1369,man
1370,born
1371,water
1372,Holy
1373,Ghost
1374,","
1375,enter
1376,kingdom
1377,God
1378,.
1379,Unless
1380,man
1381,born
1382,","
1383,etc
1384,....
1385,word
1386,Saviour
1387,hath
1388,declared
1389,necessity
1390,baptism
1391,;
1392,word
1393,water
1394,evident
1395,application
1396,necessary
1397,word
1398,.
1399,Matt
1400,.
1401,28
1402,.
1403,19
1404,.
1405,3:6
1406,.
1407,born
1408,flesh
1409,flesh
1410,:
1411,born
1412,Spirit
1413,spirit
1414,.
1415,3:7
1416,.
1417,Wonder
1418,said
1419,thee
1420,:
1421,must
1422,born
1423,.
1424,3:8
1425,.
1426,Spirit
1427,breatheth
1428,thou
1429,hearest
1430,voice
1431,:
1432,thou
1433,knowest
1434,whence
1435,cometh
1436,whither
1437,goeth
1438,.
1439,every
1440,one
1441,born
1442,Spirit
1443,.
1444,3:9
1445,.
1446,Nicodemus
1447,answered
1448,said
1449,:
1450,thing
1451,done
1452,?
1453,3:10
1454,.
1455,Jesus
1456,answered
1457,said
1458,:
1459,Art
1460,thou
1461,master
1462,Israel
1463,","
1464,knowest
1465,thing
1466,?
1467,3:11
1468,.
1469,Amen
1470,","
1471,amen
1472,","
1473,say
1474,thee
1475,speak
1476,know
1477,testify
1478,seen
1479,:
1480,receive
1481,testimony
1482,.
1483,3:12
1484,.
1485,spoken
1486,earthly
1487,thing
1488,","
1489,believe
1490,:
1491,believe
1492,","
1493,shall
1494,speak
1495,heavenly
1496,thing
1497,?
1498,3:13
1499,.
1500,man
1501,hath
1502,ascended
1503,heaven
1504,","
1505,descended
1506,heaven
1507,","
1508,Son
1509,man
1510,heaven
1511,.
1512,3:14
1513,.
1514,Moses
1515,lifted
1516,serpent
1517,desert
1518,","
1519,must
1520,Son
1521,man
1522,lifted
1523,:
1524,3:15
1525,.
1526,whosoever
1527,believeth
1528,may
1529,perish
1530,","
1531,may
1532,life
1533,everlasting
1534,.
1535,3:16
1536,.
1537,God
1538,loved
1539,world
1540,","
1541,give
1542,begotten
1543,Son
1544,:
1545,whosoever
1546,believeth
1547,may
1548,perish
1549,","
1550,may
1551,life
1552,everlasting
1553,.
1554,3:17
1555,.
1556,God
1557,sent
1558,Son
1559,world
1560,","
1561,judge
1562,world
1563,:
1564,world
1565,may
1566,saved
1567,.
1568,3:18
1569,.
1570,believeth
1571,judged
1572,.
1573,doth
1574,believe
1575,already
1576,judged
1577,:
1578,believeth
1579,name
1580,begotten
1581,Son
1582,God
1583,.
1584,judged
1585,....
1586,believeth
1587,","
1588,viz.
1589,","
1590,faith
1591,working
1592,charity
1593,","
1594,judged
1595,","
1596,","
1597,condemned
1598,;
1599,obstinate
1600,unbeliever
1601,judged
1602,","
1603,","
1604,condemned
1605,already
1606,","
1607,retrenching
1608,society
1609,Christ
1610,church
1611,.
1612,3:19
1613,.
1614,judgment
1615,:
1616,light
1617,come
1618,world
1619,men
1620,loved
1621,darkness
1622,rather
1623,light
1624,:
1625,work
1626,evil
1627,.
1628,judgment
1629,....
1630,","
1631,cause
1632,comdemnation
1633,.
1634,3:20
1635,.
1636,every
1637,one
1638,doth
1639,evil
1640,hateth
1641,light
1642,cometh
1643,light
1644,","
1645,work
1646,may
1647,reproved
1648,.
1649,3:21
1650,.
1651,doth
1652,truth
1653,cometh
1654,light
1655,","
1656,work
1657,may
1658,made
1659,manifest
1660,:
1661,done
1662,God
1663,.
1664,doth
1665,truth
1666,....
1667,","
1668,acteth
1669,according
1670,truth
1671,","
1672,signifies
1673,Law
1674,God
1675,.
1676,Thy
1677,law
1678,truth
1679,.
1680,Psa
1681,.
1682,118
1683,.
1684,142
1685,.
1686,3:22
1687,.
1688,thing
1689,","
1690,Jesus
1691,disciple
1692,came
1693,land
1694,Judea
1695,:
1696,abode
1697,baptized
1698,.
1699,3:23
1700,.
1701,John
1702,also
1703,baptizing
1704,Ennon
1705,near
1706,Salim
1707,:
1708,much
1709,water
1710,.
1711,came
1712,baptized
1713,.
1714,3:24
1715,.
1716,John
1717,yet
1718,cast
1719,prison
1720,.
1721,3:25
1722,.
1723,arose
1724,question
1725,John
1726,’
1727,disciple
1728,Jews
1729,","
1730,concerning
1731,purification
1732,.
1733,3:26
1734,.
1735,came
1736,John
1737,said
1738,:
