,lemmatised_John
4939,","
4940,fear
4941,Jews
4942,.
4943,7:14
4944,.
4945,","
4946,midst
4947,feast
4948,","
4949,Jesus
4950,went
4951,temple
4952,taught
4953,.
4954,7:15
4955,.
4956,Jews
4957,wondered
4958,","
4959,saying
4960,:
4961,doth
4962,man
4963,know
4964,letter
4965,","
4966,never
4967,learned
4968,?
4969,7:16
4970,.
4971,Jesus
4972,answered
4973,said
4974,:
4975,doctrine
4976,mine
4977,","
4978,sent
4979,.
4980,7:17
4981,.
4982,man
4983,","
4984,shall
4985,know
4986,doctrine
4987,","
4988,whether
4989,God
4990,","
4991,whether
4992,speak
4993,.
4994,7:18
4995,.
4996,speaketh
4997,seeketh
4998,glory
4999,:
5000,seeketh
5001,glory
5002,sent
5003,","
5004,true
5005,injustice
5006,.
5007,7:19
5008,.
5009,Moses
5010,give
5011,law
5012,","
5013,yet
5014,none
5015,keepeth
5016,law
5017,?
5018,7:20
5019,.
5020,seek
5021,kill
5022,?
5023,multitude
5024,answered
5025,said
5026,:
5027,Thou
5028,hast
5029,devil
5030,.
5031,seeketh
5032,kill
5033,thee
5034,?
5035,7:21
5036,.
5037,Jesus
5038,answered
5039,said
5040,:
5041,One
5042,work
5043,done
5044,:
5045,wonder
5046,.
5047,7:22
5048,.
5049,Therefore
5050,","
5051,Moses
5052,gave
5053,circumcision
5054,(
5055,Moses
5056,","
5057,father
5058,)
5059,:
5060,sabbath
5061,day
5062,circumcise
5063,man
5064,.
5065,7:23
5066,.
5067,man
5068,receive
5069,circumcision
5070,sabbath
5071,day
5072,","
5073,law
5074,Moses
5075,may
5076,broken
5077,:
5078,angry
5079,","
5080,healed
5081,whole
5082,man
5083,sabbath
5084,day
5085,?
5086,7:24
5087,.
5088,Judge
5089,according
5090,appearance
5091,:
5092,judge
5093,judgment
5094,.
5095,7:25
5096,.
5097,therefore
5098,Jerusalem
5099,said
5100,:
5101,seek
5102,kill
5103,?
5104,7:26
5105,.
5106,behold
5107,","
5108,speaketh
5109,openly
5110,:
5111,say
5112,nothing
5113,.
5114,ruler
5115,known
5116,truth
5117,Christ
5118,?
5119,7:27
5120,.
5121,know
5122,man
5123,","
5124,whence
5125,:
5126,Christ
5127,cometh
5128,","
5129,man
5130,knoweth
5131,","
5132,whence
5133,.
5134,7:28
5135,.
5136,Jesus
5137,therefore
5138,cried
5139,temple
5140,","
5141,teaching
5142,saying
5143,:
5144,know
5145,","
5146,know
5147,whence
5148,.
5149,come
5150,:
5151,sent
5152,true
5153,","
5154,know
5155,.
5156,7:29
5157,.
5158,know
5159,","
5160,:
5161,hath
5162,sent
5163,.
5164,7:30
5165,.
5166,sought
5167,therefore
5168,apprehend
5169,:
5170,man
5171,laid
5172,hand
5173,","
5174,hour
5175,yet
5176,come
5177,.
5178,7:31
5179,.
5180,people
5181,many
5182,believed
5183,said
5184,:
5185,Christ
5186,cometh
5187,","
5188,shall
5189,miracle
5190,man
5191,doth
5192,?
5193,7:32
5194,.
5195,Pharisees
5196,heard
5197,people
5198,murmuring
5199,thing
5200,concerning
5201,:
5202,ruler
5203,Pharisees
5204,sent
5205,minister
5206,apprehend
5207,.
5208,7:33
5209,.
5210,Jesus
5211,therefore
5212,said
5213,:
5214,Yet
5215,little
5216,:
5217,go
5218,sent
5219,.
5220,7:34
5221,.
5222,shall
5223,seek
5224,shall
5225,find
5226,:
5227,","
5228,thither
5229,come
5230,.
5231,7:35
5232,.
5233,Jews
5234,therefore
5235,said
5236,among
5237,:
5238,Whither
5239,go
5240,","
5241,shall
5242,find
5243,?
5244,go
5245,unto
5246,dispersed
5247,among
5248,Gentiles
5249,teach
5250,Gentiles
5251,?
5252,7:36
5253,.
5254,saying
5255,hath
5256,said
5257,:
5258,shall
5259,seek
5260,shall
5261,find
5262,?
5263,:
5264,","
5265,come
5266,?
5267,7:37
5268,.
5269,last
5270,","
5271,great
5272,day
5273,festivity
5274,","
5275,Jesus
5276,stood
5277,cried
5278,","
5279,saying
5280,:
5281,man
5282,thirst
5283,","
5284,let
5285,come
5286,drink
5287,.
5288,7:38
5289,.
5290,believeth
5291,","
5292,scripture
5293,saith
5294,:
5295,belly
5296,shall
5297,flow
5298,river
5299,living
5300,water
5301,.
5302,7:39
5303,.
5304,said
5305,Spirit
5306,receive
5307,believed
5308,:
5309,yet
5310,Spirit
5311,given
5312,","
5313,Jesus
5314,yet
5315,glorified
5316,.
5317,7:40
5318,.
5319,multitude
5320,therefore
5321,","
5322,heard
5323,word
5324,","
5325,said
5326,:
5327,prophet
5328,indeed
5329,.
5330,7:41
5331,.
5332,Others
5333,said
5334,:
5335,Christ
5336,.
5337,said
5338,:
5339,Doth
5340,Christ
5341,come
5342,Galilee
5343,?
5344,7:42
5345,.
5346,Doth
5347,scripture
5348,say
5349,:
5350,Christ
5351,cometh
5352,seed
5353,David
5354,Bethlehem
5355,town
5356,David
5357,?
5358,7:43
5359,.
5360,arose
5361,dissension
5362,among
5363,people
5364,.
5365,7:44
5366,.
5367,would
5368,apprehended
5369,:
5370,man
5371,laid
5372,hand
5373,upon
5374,.
5375,7:45
5376,.
5377,minister
5378,therefore
5379,came
5380,chief
5381,priest
5382,Pharisees
5383,.
5384,said
5385,:
5386,brought
5387,?
5388,7:46
5389,.
5390,minister
5391,answered
5392,:
5393,Never
5394,man
5395,speak
5396,like
5397,man
5398,.
5399,7:47
5400,.
5401,Pharisees
5402,therefore
5403,answered
5404,:
5405,also
5406,seduced
5407,?
5408,7:48
5409,.
5410,Hath
5411,one
5412,ruler
5413,believed
5414,","
5415,Pharisees
5416,?
5417,7:49
5418,.
5419,multitude
5420,","
5421,knoweth
5422,law
5423,","
5424,accursed
5425,.
5426,7:50
5427,.
5428,Nicodemus
5429,said
5430,(
5431,came
5432,night
5433,","
5434,one
5435,)
5436,:
5437,7:51
5438,.
5439,Doth
5440,law
5441,judge
5442,man
5443,","
5444,unless
5445,first
5446,hear
5447,know
5448,doth
5449,?
5450,7:52
5451,.
5452,answered
5453,said
5454,:
5455,Art
5456,thou
5457,also
5458,Galilean
5459,?
5460,Search
5461,scripture
5462,","
5463,see
5464,Galilee
5465,prophet
5466,riseth
5467,.
5468,7:53
5469,.
5470,every
5471,man
5472,returned
5473,house
5474,.
5475,John
5476,Chapter
5477,8
5478,woman
5479,taken
5480,adultery
5481,.
5482,Christ
5483,justifies
5484,doctrine
5485,.
5486,8:1
5487,.
5488,Jesus
5489,went
5490,unto
5491,mount
5492,Olivet
5493,.
5494,8:2
5495,.
5496,early
5497,morning
5498,came
5499,temple
5500,:
5501,people
5502,came
5503,.
5504,sitting
5505,taught
5506,.
5507,8:3
5508,.
5509,scribe
5510,Pharisees
5511,bring
5512,unto
5513,woman
5514,taken
5515,adultery
5516,:
5517,set
5518,midst
5519,","
5520,8:4
5521,.
5522,said
5523,:
5524,Master
5525,","
5526,woman
5527,even
5528,taken
5529,adultery
5530,.
5531,8:5
5532,.
5533,Moses
5534,law
5535,commanded
5536,u
5537,stone
5538,one
5539,.
5540,sayest
5541,thou
5542,?
5543,8:6
5544,.
5545,said
5546,tempting
5547,","
5548,might
5549,accuse
5550,.
5551,Jesus
5552,bowing
5553,","
5554,wrote
5555,finger
5556,ground
5557,.
5558,8:7
5559,.
5560,therefore
5561,continued
5562,asking
5563,","
5564,lifted
5565,said
5566,:
5567,without
5568,sin
5569,among
5570,","
5571,let
5572,first
5573,cast
5574,stone
5575,.
5576,8:8
5577,.
5578,stooping
5579,","
5580,wrote
5581,ground
5582,.
5583,8:9
5584,.
5585,hearing
5586,","
5587,went
5588,one
5589,one
5590,","
5591,beginning
5592,eldest
5593,.
5594,Jesus
5595,alone
5596,remained
5597,","
5598,woman
5599,standing
5600,midst
5601,.
5602,8:10
5603,.
5604,Jesus
5605,lifting
5606,","
5607,said
5608,:
5609,Woman
5610,","
5611,accused
5612,thee
5613,?
5614,Hath
5615,man
5616,condemned
5617,thee
5618,?
5619,8:11.
5620,said
5621,:
5622,man
5623,","
5624,Lord
5625,.
5626,Jesus
5627,said
5628,:
5629,Neither
5630,condemn
5631,thee
5632,.
5633,Go
5634,","
5635,sin
5636,.
5637,8:12
5638,.
5639,therefore
5640,","
5641,Jesus
5642,spoke
5643,:
5644,","
5645,saying
5646,:
5647,light
5648,world
5649,.
5650,followeth
5651,walketh
5652,darkness
5653,","
5654,shall
5655,light
5656,life
5657,.
5658,8:13
5659,.
5660,Pharisees
5661,therefore
5662,said
5663,:
5664,Thou
5665,givest
5666,testimony
5667,thyself
5668,.
5669,Thy
5670,testimony
5671,true
5672,.
5673,8:14
5674,.
5675,Jesus
5676,answered
5677,said
5678,:
5679,Although
5680,give
5681,testimony
5682,","
5683,testimony
5684,true
5685,:
5686,know
5687,whence
5688,came
5689,","
5690,whither
5691,go
5692,:
5693,know
5694,whence
5695,come
5696,","
5697,whither
5698,go
5699,.
5700,8:15
5701,.
5702,judge
5703,according
5704,flesh
5705,:
5706,judge
5707,man
5708,.
5709,8:16
5710,.
5711,judge
5712,","
5713,judgment
5714,true
5715,:
5716,alone
5717,","
5718,Father
5719,sent
5720,.
5721,8:17
5722,.
5723,law
5724,written
5725,testimony
5726,two
5727,men
5728,true
5729,.
5730,8:18
5731,.
5732,one
5733,give
5734,testimony
5735,:
5736,Father
5737,sent
5738,giveth
5739,testimony
5740,.
5741,8:19
5742,.
5743,said
5744,therefore
5745,:
5746,thy
5747,Father
5748,?
5749,Jesus
5750,answered
5751,:
5752,Neither
5753,know
5754,","
5755,Father
5756,.
5757,know
5758,","
5759,perhaps
5760,would
5761,know
5762,Father
5763,also
5764,.
5765,8:20
5766,.
5767,word
5768,Jesus
5769,spoke
5770,treasury
5771,","
5772,teaching
5773,temple
5774,:
5775,man
5776,laid
5777,hand
5778,","
5779,hour
5780,yet
5781,come
5782,.
5783,8:21
5784,.
5785,therefore
5786,Jesus
5787,said
5788,:
5789,go
5790,:
5791,shall
5792,seek
5793,.
5794,shall
5795,die
5796,sin
5797,.
5798,Whither
5799,go
5800,","
5801,come
5802,.
5803,8:22
5804,.
5805,Jews
5806,therefore
5807,said
5808,:
5809,kill
5810,","
5811,said
5812,:
5813,Whither
5814,go
5815,come
5816,?
5817,8:23
5818,.
5819,said
5820,:
5821,beneath
5822,:
5823,.
5824,world
5825,:
5826,world
5827,.
5828,8:24
5829,.
5830,Therefore
5831,said
5832,shall
5833,die
5834,sin
5835,.
5836,believe
5837,","
5838,shall
5839,die
5840,sin
5841,.
5842,8:25
5843,.
5844,said
5845,therefore
5846,:
5847,art
5848,thou
5849,?
5850,Jesus
5851,said
5852,:
5853,beginning
5854,","
5855,also
5856,speak
5857,unto
5858,.
5859,8:26
5860,.
5861,Many
5862,thing
5863,speak
5864,judge
5865,.
5866,sent
5867,","
5868,true
5869,:
5870,thing
5871,heard
5872,","
5873,speak
5874,world
5875,.
5876,8:27
5877,.
5878,understood
5879,called
5880,God
5881,Father
5882,.
5883,8:28
5884,.
5885,Jesus
5886,therefore
5887,said
5888,:
5889,shall
5890,lifted
5891,","
5892,Son
5893,man
5894,","
5895,shall
5896,know
5897,nothing
5898,.
5899,Father
5900,hath
5901,taught
5902,","
5903,thing
5904,speak
5905,.
5906,8:29
5907,.
5908,sent
5909,:
5910,hath
5911,left
5912,alone
5913,.
5914,always
5915,thing
5916,please
5917,.
5918,8:30
5919,.
5920,spoke
5921,thing
5922,","
5923,many
5924,believed
5925,.
5926,8:31
5927,.
5928,Jesus
5929,said
5930,Jews
5931,believed
5932,:
5933,continue
5934,word
5935,","
5936,shall
5937,disciple
5938,indeed
5939,.
5940,8:32
5941,.
5942,shall
5943,know
5944,truth
5945,:
5946,truth
5947,shall
5948,make
5949,free
5950,.
5951,8:33
5952,.
5953,answered
5954,:
5955,seed
5956,Abraham
5957,:
5958,never
5959,slave
5960,man
5961,.
5962,sayest
5963,thou
5964,:
5965,shall
5966,free
5967,?
5968,8:34
5969,.
5970,Jesus
5971,answered
5972,:
5973,Amen
5974,","
5975,amen
5976,","
5977,say
5978,unto
5979,whosoever
5980,committeth
5981,sin
5982,servant
5983,sin
5984,.
5985,8:35
5986,.
5987,servant
5988,abideth
5989,house
5990,ever
5991,:
5992,son
5993,abideth
5994,ever
5995,.
5996,8:36
5997,.
5998,therefore
5999,son
6000,shall
6001,make
6002,free
6003,","
6004,shall
6005,free
6006,indeed
6007,.
6008,8:37
6009,.
6010,know
6011,child
6012,Abraham
6013,:
6014,seek
6015,kill
6016,","
6017,word
6018,hath
6019,place
6020,.
6021,8:38
6022,.
6023,speak
6024,seen
6025,Father
6026,:
6027,thing
6028,seen
6029,father
6030,.
6031,8:39
6032,.
6033,answered
6034,said
6035,:
6036,Abraham
6037,father
6038,.
6039,Jesus
6040,saith
6041,:
6042,child
6043,Abraham
6044,","
6045,work
6046,Abraham
6047,.
6048,8:40
6049,.
6050,seek
6051,kill
6052,","
6053,man
6054,spoken
6055,truth
6056,","
6057,heard
6058,God
6059,.
6060,Abraham
6061,.
6062,8:41
6063,.
6064,work
6065,father
6066,.
6067,said
6068,therefore
6069,:
6070,born
6071,fornication
6072,:
6073,one
6074,Father
6075,","
6076,even
6077,God
6078,.
6079,8:42
6080,.
6081,Jesus
6082,therefore
6083,said
6084,:
6085,God
6086,Father
6087,","
6088,would
6089,indeed
6090,love
6091,.
6092,God
6093,proceeded
6094,came
6095,.
6096,came
6097,:
6098,sent
6099,.
6100,8:43
6101,.
6102,know
6103,speech
6104,?
6105,hear
6106,word
6107,.
6108,8:44
6109,.
6110,father
6111,devil
6112,:
6113,desire
6114,father
6115,.
6116,murderer
6117,beginning
6118,:
6119,stood
6120,truth
6121,","
6122,truth
6123,.
6124,speaketh
6125,lie
6126,","
6127,speaketh
6128,:
6129,liar
6130,","
6131,father
6132,thereof
6133,.
6134,8:45
6135,.
6136,say
6137,truth
6138,","
6139,believe
6140,.
6141,8:46
6142,.
6143,shall
6144,convince
6145,sin
6146,?
6147,say
6148,truth
6149,","
6150,believe
6151,:
6152,8:47
6153,.
6154,God
6155,heareth
6156,word
6157,God
6158,.
6159,Therefore
6160,hear
6161,","
6162,God
6163,.
6164,8:48
6165,.
6166,Jews
6167,therefore
6168,answered
6169,said
6170,:
6171,say
6172,well
6173,thou
6174,art
6175,Samaritan
6176,hast
6177,devil
6178,?
6179,8:49
6180,.
6181,Jesus
6182,answered
6183,:
6184,devil
6185,:
6186,honour
6187,Father
6188,.
6189,dishonoured
6190,.
6191,8:50
6192,.
6193,seek
6194,glory
6195,:
6196,one
6197,seeketh
6198,judgeth
6199,.
6200,8:51
6201,.
6202,Amen
6203,","
6204,amen
6205,","
6206,say
6207,:
6208,man
6209,keep
6210,word
6211,","
6212,shall
6213,see
6214,death
6215,ever
6216,.
6217,8:52
6218,.
6219,Jews
6220,therefore
6221,said
6222,:
6223,know
6224,thou
6225,hast
6226,devil
6227,.
6228,Abraham
6229,dead
6230,","
6231,prophet
6232,:
6233,thou
6234,sayest
6235,:
6236,man
6237,keep
6238,word
6239,","
6240,shall
6241,taste
6242,death
6243,ever
6244,.
6245,8:53
6246,.
6247,Art
6248,thou
6249,greater
6250,father
6251,Abraham
6252,dead
6253,?
6254,prophet
6255,dead
6256,.
6257,dost
6258,thou
6259,make
6260,thyself
6261,?
6262,8:54
6263,.
6264,Jesus
6265,answered
6266,:
6267,glorify
6268,","
6269,glory
6270,nothing
6271,.
6272,Father
6273,glorifieth
6274,","
6275,say
6276,God
6277,.
6278,8:55
6279,.
6280,known
6281,:
6282,know
6283,.
6284,shall
6285,say
6286,know
6287,","
6288,shall
6289,like
6290,","
6291,liar
6292,.
6293,know
6294,keep
6295,word
6296,.
6297,8:56
6298,.
6299,Abraham
6300,father
6301,rejoiced
6302,might
6303,see
6304,day
6305,:
6306,saw
6307,glad
6308,.
6309,8:57
6310,.
6311,Jews
6312,therefore
6313,said
6314,:
6315,Thou
6316,art
6317,yet
6318,fifty
6319,year
6320,old
6321,.
6322,hast
6323,thou
6324,seen
6325,Abraham
6326,?
6327,8:58
6328,.
6329,Jesus
6330,said
6331,:
6332,Amen
6333,","
6334,amen
6335,","
6336,say
6337,","
6338,Abraham
6339,made
6340,","
6341,.
6342,8:59
6343,.
6344,took
6345,stone
6346,therefore
6347,cast
6348,.
6349,Jesus
6350,hid
6351,went
6352,temple
6353,.
6354,John
6355,Chapter
6356,9
6357,give
6358,sight
6359,man
6360,born
6361,blind
6362,.
6363,9:1
6364,.
6365,Jesus
6366,passing
6367,","
6368,saw
6369,man
6370,blind
6371,birth
6372,.
6373,9:2
6374,.
6375,disciple
6376,asked
6377,:
6378,Rabbi
6379,","
6380,hath
6381,sinned
6382,","
6383,man
6384,parent
6385,","
6386,born
6387,blind
6388,?
6389,9:3
6390,.
6391,Jesus
6392,answered
6393,:
6394,Neither
6395,hath
6396,man
6397,sinned
6398,","
6399,parent
6400,;
6401,work
6402,God
6403,made
6404,manifest
6405,.
6406,9:4
6407,.
6408,must
6409,work
6410,work
6411,sent
6412,","
6413,whilst
6414,day
6415,:
6416,night
6417,cometh
6418,","
6419,man
6420,work
6421,.
6422,9:5
6423,.
6424,long
6425,world
6426,","
6427,light
6428,world
6429,.
6430,9:6
6431,.
6432,said
6433,thing
6434,","
6435,spat
6436,ground
6437,made
6438,clay
6439,spittle
6440,spread
6441,clay
6442,upon
6443,eye
6444,","
6445,9:7
6446,.
6447,said
6448,:
6449,Go
6450,","
6451,wash
6452,pool
6453,Siloe
6454,","
6455,interpreted
6456,","
6457,Sent
6458,.
6459,went
6460,therefore
6461,washed
6462,:
6463,came
6464,seeing
6465,.
6466,9:8
6467,.
6468,neighbour
6469,","
6470,therefore
6471,","
6472,seen
6473,beggar
6474,","
6475,said
6476,:
6477,sat
6478,begged
6479,?
6480,said
6481,:
6482,.
6483,9:9
6484,.
6485,others
6486,said
6487,:
6488,","
6489,like
6490,.
6491,said
6492,:
6493,.
6494,9:10
6495,.
6496,said
6497,therefore
6498,:
6499,thy
6500,eye
6501,opened
6502,?
6503,9:11
6504,.
6505,answered
6506,:
6507,man
6508,called
6509,Jesus
6510,made
6511,clay
6512,anointed
6513,eye
6514,said
6515,:
6516,Go
6517,pool
6518,Siloe
6519,wash.
6520,went
6521,:
6522,washed
6523,:
6524,see
6525,.
6526,9:12
6527,.
6528,said
6529,:
6530,?
6531,saith
6532,:
6533,know
6534,.
6535,9:13
6536,.
6537,bring
6538,blind
6539,Pharisees
6540,.
6541,9:14
6542,.
6543,sabbath
6544,","
6545,Jesus
6546,made
6547,clay
6548,opened
6549,eye
6550,.
6551,9:15
6552,.
6553,therefore
6554,Pharisees
6555,asked
6556,received
6557,sight
6558,.
6559,said
6560,:
6561,put
6562,clay
6563,upon
6564,eye
6565,:
6566,washed
6567,:
6568,see
6569,.
6570,9:16
6571,.
6572,therefore
6573,Pharisees
6574,said
6575,:
6576,man
6577,God
6578,","
6579,keepeth
6580,sabbath
6581,.
6582,others
6583,said
6584,:
6585,man
6586,sinner
6587,miracle
6588,?
6589,division
6590,among
6591,.
6592,9:17
6593,.
6594,say
6595,therefore
6596,blind
6597,man
6598,:
6599,sayest
6600,thou
6601,hath
6602,opened
6603,thy
6604,eye
6605,?
6606,said
6607,:
6608,prophet
6609,.
6610,9:18
6611,.
6612,Jews
6613,believe
6614,concerning
6615,","
6616,blind
6617,received
6618,sight
6619,","
6620,called
6621,parent
6622,received
6623,sight
6624,","
6625,9:19
6626,.
6627,asked
6628,","
6629,saying
6630,:
6631,son
6632,","
6633,say
6634,born
6635,blind
6636,?
6637,doth
6638,see
6639,?
6640,9:20
6641,.
6642,parent
6643,answered
6644,said
6645,:
6646,know
6647,son
6648,born
6649,blind
6650,:
6651,9:21
6652,.
6653,seeth
6654,","
6655,know
6656,:
6657,hath
6658,opened
6659,eye
6660,","
6661,know
6662,.
6663,Ask
6664,:
6665,age
6666,:
6667,Let
6668,speak
6669,.
6670,9:22
6671,.
6672,thing
6673,parent
6674,said
6675,","
6676,feared
6677,Jews
6678,:
6679,Jews
6680,already
6681,agreed
6682,among
6683,man
6684,confess
6685,Christ
6686,","
6687,put
6688,synagogue
6689,.
6690,9:23
6691,.
6692,Therefore
6693,parent
6694,say
6695,:
6696,age
6697,.
6698,Ask
6699,.
6700,9:24
6701,.
6702,therefore
6703,called
6704,man
6705,blind
6706,said
6707,:
6708,Give
6709,glory
6710,God
6711,.
6712,know
6713,man
6714,sinner
6715,.
6716,9:25
6717,.
6718,said
6719,therefore
6720,:
6721,sinner
6722,","
6723,know
6724,.
6725,One
6726,thing
6727,know
6728,","
6729,whereas
6730,blind
6731,.
6732,see
6733,.
6734,9:26
6735,.
6736,said
6737,:
6738,thee
6739,?
6740,open
6741,thy
6742,eye
6743,?
6744,9:27
6745,.
6746,answered
6747,:
6748,told
6749,already
6750,","
6751,heard
6752,.
6753,would
6754,hear
6755,?
6756,also
6757,become
6758,disciple
6759,?
6760,9:28
6761,.
6762,reviled
6763,therefore
6764,said
6765,:
6766,thou
6767,disciple
6768,;
6769,disciple
6770,Moses
6771,.
6772,9:29
6773,.
6774,know
6775,God
6776,spoke
6777,Moses
6778,:
6779,man
6780,","
6781,know
6782,whence
6783,.
6784,9:30
6785,.
6786,man
6787,answered
6788,said
6789,:
6790,","
6791,herein
6792,wonderful
6793,thing
6794,","
6795,know
6796,whence
6797,","
6798,hath
6799,opened
6800,eye
6801,.
6802,9:31
6803,.
6804,know
6805,God
6806,doth
6807,hear
6808,sinner
6809,:
6810,man
6811,server
6812,God
6813,doth
6814,","
6815,","
6816,heareth
6817,.
6818,9:32
6819,.
6820,beginning
6821,world
6822,hath
6823,heard
6824,","
6825,man
6826,hath
6827,opened
6828,eye
6829,one
6830,born
6831,blind
6832,.
6833,9:33
6834,.
6835,Unless
6836,man
6837,God
6838,","
6839,could
6840,anything
6841,.
6842,9:34
6843,.
6844,answered
6845,said
6846,:
6847,Thou
6848,wast
6849,wholly
6850,born
6851,sin
6852,;
6853,dost
6854,thou
6855,teach
6856,u
6857,?
6858,cast
6859,.
6860,9:35
6861,.
6862,Jesus
6863,heard
6864,cast
6865,.
6866,found
6867,","
6868,said
6869,:
6870,Dost
6871,thou
6872,believe
6873,Son
6874,God
6875,?
6876,9:36
6877,.
6878,answered
6879,","
6880,said
6881,:
6882,","
6883,Lord
6884,","
6885,may
6886,believe
6887,?
6888,9:37
6889,.
6890,Jesus
6891,said
6892,:
6893,Thou
6894,hast
6895,seen
6896,;
6897,talketh
6898,thee
6899,.
6900,9:38
6901,.
6902,said
6903,:
6904,believe
6905,","
6906,Lord
6907,.
6908,falling
6909,","
6910,adored
6911,.
6912,9:39
6913,.
6914,Jesus
6915,said
6916,:
6917,judgment
6918,come
6919,world
6920,:
6921,see
6922,may
6923,see
6924,;
6925,see
6926,may
6927,become
6928,blind
6929,.
6930,come
6931,","
6932,etc
6933,....
6934,Christ
6935,came
6936,end
6937,","
6938,one
6939,made
6940,blind
6941,:
6942,Jews
6943,","
6944,abuse
6945,coming
6946,","
6947,receiving
6948,","
6949,brought
6950,upon
6951,judgment
6952,blindness
6953,.
6954,9:40
6955,.
6956,Pharisees
6957,","
6958,","
6959,heard
6960,:
6961,said
6962,unto
6963,:
6964,also
6965,blind
6966,?
6967,9:41
6968,.
6969,Jesus
6970,said
6971,:
6972,blind
6973,","
6974,sin
6975,:
6976,say
6977,:
6978,see
6979,.
6980,sin
6981,remaineth
6982,.
6983,blind
6984,","
6985,etc
6986,....
6987,invincibly
6988,ignorant
6989,","
6990,neither
6991,read
6992,scripture
6993,","
6994,seen
6995,miracle
6996,","
6997,would
6998,guilty
6999,sin
7000,infidelity
7001,:
7002,","
7003,boast
7004,knowledge
7005,scripture
7006,","
7007,inexcusable
7008,.
7009,John
7010,Chapter
7011,10
7012,Christ
7013,door
7014,good
7015,shepherd
7016,.
7017,Father
7018,one
7019,.
7020,10:1
7021,.
7022,Amen
7023,","
7024,amen
7025,","
7026,say
7027,:
7028,entereth
7029,door
7030,sheepfold
7031,climbeth
7032,another
7033,way
7034,","
7035,thief
7036,robber
7037,.
7038,10:2
7039,.
7040,entereth
7041,door
7042,shepherd
7043,sheep
7044,.
7045,10:3
7046,.
7047,porter
7048,openeth
7049,:
7050,sheep
7051,hear
7052,voice
7053,.
7054,calleth
7055,sheep
7056,name
7057,leadeth
7058,.
7059,10:4
7060,.
7061,hath
7062,let
7063,sheep
7064,","
7065,goeth
7066,:
7067,sheep
7068,follow
7069,","
7070,know
7071,voice
7072,.
7073,10:5
7074,.
7075,stranger
7076,follow
7077,","
7078,fly
7079,","
7080,know
7081,voice
7082,stranger
7083,.
7084,10:6
7085,.
7086,proverb
7087,Jesus
7088,spoke
7089,.
7090,understood
7091,spoke
7092,.
7093,10:7
7094,.
7095,Jesus
7096,therefore
7097,said
7098,:
7099,Amen
7100,","
7101,amen
7102,","
7103,say
7104,","
7105,door
7106,sheep
7107,.
7108,10:8
7109,.
7110,others
7111,","
7112,many
7113,come
7114,","
7115,thief
7116,robber
7117,:
7118,sheep
7119,heard
7120,.
7121,10:9
7122,.
7123,door
7124,.
7125,","
7126,man
7127,enter
7128,","
7129,shall
7130,saved
7131,:
7132,shall
7133,go
7134,go
7135,","
7136,shall
7137,find
7138,pasture
7139,.
7140,10:10
7141,.
7142,thief
7143,cometh
7144,","
7145,steal
7146,kill
7147,destroy
7148,.
7149,come
7150,may
7151,life
7152,may
7153,abundantly
7154,.
7155,10:11
7156,.
7157,good
7158,shepherd
7159,.
7160,good
7161,shepherd
7162,giveth
7163,life
7164,sheep
7165,.
7166,10:12
7167,.
7168,hireling
7169,shepherd
7170,","
7171,whose
7172,sheep
7173,","
7174,seeth
7175,wolf
7176,coming
7177,leaveth
7178,sheep
7179,flieth
7180,:
7181,wolf
7182,catcheth
7183,scattereth
7184,sheep
7185,","
7186,10:13
7187,.
7188,hireling
7189,flieth
7190,","
7191,hireling
7192,:
7193,hath
7194,care
7195,sheep
7196,.
7197,10:14
7198,.
7199,good
7200,shepherd
7201,:
7202,know
7203,mine
7204,","
7205,mine
7206,know
7207,.
7208,10:15
7209,.
7210,Father
7211,knoweth
7212,","
7213,know
7214,Father
7215,:
7216,lay
7217,life
7218,sheep
7219,.
7220,10:16
7221,.
7222,sheep
7223,fold
7224,:
7225,also
7226,must
7227,bring
7228,.
7229,shall
7230,hear
7231,voice
7232,:
7233,shall
7234,one
7235,fold
7236,one
7237,shepherd
7238,.
7239,10:17
7240,.
7241,Therefore
7242,doth
7243,Father
7244,love
7245,:
7246,lay
7247,life
7248,","
7249,may
7250,take
7251,.
7252,10:18
7253,.
7254,man
7255,taketh
7256,away
7257,:
7258,lay
7259,.
7260,power
7261,lay
7262,:
7263,power
7264,take
7265,.
7266,commandment
7267,received
7268,Father
7269,.
7270,10:19
7271,.
7272,dissension
7273,rose
7274,among
7275,Jews
7276,word
7277,.
7278,10:20
7279,.
7280,many
7281,said
7282,:
7283,hath
7284,devil
7285,mad
7286,.
7287,hear
7288,?
7289,10:21
7290,.
7291,Others
7292,said
7293,:
7294,word
7295,one
7296,hath
7297,devil
7298,.
7299,devil
7300,open
7301,eye
7302,blind
7303,?
7304,10:22
7305,.
7306,feast
7307,dedication
7308,Jerusalem
7309,:
7310,winter
7311,.
7312,10:23
7313,.
7314,Jesus
7315,walked
7316,temple
7317,","
7318,Solomon
7319,’
7320,porch
7321,.
7322,10:24
7323,.
7324,Jews
7325,therefore
7326,came
7327,round
7328,said
7329,:
7330,long
7331,dost
7332,thou
7333,hold
7334,soul
7335,suspense
7336,?
7337,thou
7338,Christ
7339,","
7340,tell
7341,u
7342,plainly
7343,.
7344,10:25
7345,.
7346,Jesus
7347,answered
7348,:
7349,speak
7350,","
7351,believe
7352,:
7353,work
7354,name
7355,Father
7356,","
7357,give
7358,testimony
