,lemmatised_Mark
1517,rob
1518,good
1519,","
1520,unless
1521,first
1522,bind
1523,strong
1524,man
1525,","
1526,shall
1527,plunder
1528,house
1529,.
1530,3:28
1531,.
1532,Amen
1533,say
1534,sin
1535,shall
1536,forgiven
1537,unto
1538,son
1539,men
1540,","
1541,blasphemy
1542,wherewith
1543,shall
1544,blaspheme
1545,:
1546,3:29
1547,.
1548,shall
1549,blaspheme
1550,Holy
1551,Ghost
1552,","
1553,shall
1554,never
1555,forgiveness
1556,","
1557,shall
1558,guilty
1559,everlasting
1560,sin
1561,.
1562,3:30
1563,.
1564,said
1565,:
1566,hath
1567,unclean
1568,spirit
1569,.
1570,3:31
1571,.
1572,mother
1573,brother
1574,came
1575,;
1576,standing
1577,without
1578,","
1579,sent
1580,unto
1581,","
1582,calling
1583,.
1584,3:32
1585,.
1586,multitude
1587,sat
1588,;
1589,say
1590,:
1591,Behold
1592,thy
1593,mother
1594,thy
1595,brother
1596,without
1597,seek
1598,thee
1599,.
1600,3:33
1601,.
1602,answering
1603,","
1604,said
1605,:
1606,mother
1607,brother
1608,?
1609,3:34
1610,.
1611,looking
1612,round
1613,sat
1614,","
1615,saith
1616,:
1617,Behold
1618,mother
1619,brother
1620,.
1621,3:35
1622,.
1623,whosoever
1624,shall
1625,God
1626,","
1627,brother
1628,","
1629,sister
1630,","
1631,mother
1632,.
1633,Mark
1634,Chapter
1635,4
1636,parable
1637,sower
1638,.
1639,Christ
1640,still
1641,tempest
1642,sea
1643,.
1644,4:1
1645,.
1646,began
1647,teach
1648,sea
1649,side
1650,;
1651,great
1652,multitude
1653,gathered
1654,together
1655,unto
1656,","
1657,went
1658,ship
1659,sat
1660,sea
1661,:
1662,multitude
1663,upon
1664,land
1665,sea
1666,side
1667,.
1668,4:2
1669,.
1670,taught
1671,many
1672,thing
1673,parable
1674,","
1675,said
1676,unto
1677,doctrine
1678,:
1679,4:3
1680,.
1681,Hear
1682,ye
1683,:
1684,Behold
1685,","
1686,sower
1687,went
1688,sow
1689,.
1690,4:4
1691,.
1692,whilst
1693,sowed
1694,","
1695,fell
1696,way
1697,side
1698,","
1699,bird
1700,air
1701,came
1702,ate
1703,.
1704,4:5
1705,.
1706,fell
1707,upon
1708,stony
1709,ground
1710,","
1711,much
1712,earth
1713,;
1714,shot
1715,immediately
1716,","
1717,depth
1718,earth
1719,.
1720,4:6
1721,.
1722,sun
1723,risen
1724,","
1725,scorched
1726,;
1727,root
1728,","
1729,withered
1730,away
1731,.
1732,4:7
1733,.
1734,fell
1735,among
1736,thorn
1737,;
1738,thorn
1739,grew
1740,","
1741,choked
1742,","
1743,yielded
1744,fruit
1745,.
1746,4:8
1747,.
1748,fell
1749,upon
1750,good
1751,ground
1752,;
1753,brought
1754,forth
1755,fruit
1756,grew
1757,","
1758,increased
1759,yielded
1760,","
1761,one
1762,thirty
1763,","
1764,another
1765,sixty
1766,","
1767,another
1768,hundred
1769,.
1770,4:9
1771,.
1772,said
1773,:
1774,hath
1775,ear
1776,hear
1777,","
1778,let
1779,hear
1780,.
1781,4:10
1782,.
1783,alone
1784,","
1785,twelve
1786,asked
1787,parable
1788,.
1789,4:11
1790,.
1791,said
1792,:
1793,given
1794,know
1795,mystery
1796,kingdom
1797,God
1798,:
1799,without
1800,","
1801,thing
1802,done
1803,parable
1804,:
1805,4:12
1806,.
1807,seeing
1808,may
1809,see
1810,","
1811,perceive
1812,;
1813,hearing
1814,may
1815,hear
1816,","
1817,understand
1818,;
1819,lest
1820,time
1821,converted
1822,","
1823,sin
1824,forgiven
1825,.
1826,seeing
1827,may
1828,see
1829,","
1830,etc
1831,....
1832,punishment
1833,wilfully
1834,shutting
1835,eye
1836,","
1837,(
1838,St.
1839,Matt
1840,.
1841,13
1842,.
1843,15
1844,","
1845,)
1846,God
1847,justly
1848,withdrew
1849,light
1850,grace
1851,","
1852,otherwise
1853,would
1854,given
1855,","
1856,effectual
1857,conversion
1858,.
1859,4:13
1860,.
1861,saith
1862,:
1863,ignorant
1864,","
1865,parable
1866,?
1867,shall
1868,know
1869,parable
1870,?
1871,4:14
1872,.
1873,soweth
1874,","
1875,soweth
1876,word
1877,.
1878,4:15
1879,.
1880,way
1881,side
1882,","
1883,word
1884,sown
1885,","
1886,soon
1887,heard
1888,","
1889,immediately
1890,Satan
1891,cometh
1892,taketh
1893,away
1894,word
1895,sown
1896,heart
1897,.
1898,4:16
1899,.
1900,likewise
1901,sown
1902,stony
1903,ground
1904,:
1905,heard
1906,word
1907,","
1908,immediately
1909,receive
1910,joy
1911,.
1912,4:17
1913,.
1914,root
1915,","
1916,time
1917,:
