,lemmatised_Mark
4964,.
4965,said
4966,:
4967,Amen
4968,say
4969,stand
4970,shall
4971,taste
4972,death
4973,till
4974,see
4975,kingdom
4976,God
4977,coming
4978,power
4979,.
4980,Mark
4981,Chapter
4982,9
4983,Christ
4984,transfigured
4985,.
4986,cast
4987,dumb
4988,spirit
4989,.
4990,teach
4991,humility
4992,avoid
4993,scandal
4994,.
4995,9:1
4996,.
4997,six
4998,day
4999,","
5000,Jesus
5001,taketh
5002,Peter
5003,James
5004,John
5005,","
5006,leadeth
5007,high
5008,mountain
5009,apart
5010,","
5011,transfigured
5012,.
5013,9:2
5014,.
5015,garment
5016,became
5017,shining
5018,exceeding
5019,white
5020,snow
5021,","
5022,fuller
5023,upon
5024,earth
5025,make
5026,white
5027,.
5028,9:3
5029,.
5030,appeared
5031,Elias
5032,Moses
5033,:
5034,talking
5035,Jesus
5036,.
5037,9:4
5038,.
5039,Peter
5040,answering
5041,","
5042,said
5043,Jesus
5044,:
5045,Rabbi
5046,","
5047,good
5048,u
5049,.
5050,let
5051,u
5052,make
5053,three
5054,tabernacle
5055,","
5056,one
5057,thee
5058,","
5059,one
5060,Moses
5061,","
5062,one
5063,Elias
5064,.
5065,9:5
5066,.
5067,knew
5068,said
5069,:
5070,struck
5071,fear
5072,.
5073,9:6
5074,.
5075,cloud
5076,overshadowing
5077,.
5078,voice
5079,came
5080,cloud
5081,","
5082,saying
5083,:
5084,beloved
5085,Son
5086,.
5087,Hear
5088,ye
5089,.
5090,9:7
5091,.
5092,immediately
5093,looking
5094,","
5095,saw
5096,man
5097,","
5098,Jesus
5099,.
5100,9:8
5101,.
5102,came
5103,mountain
5104,","
5105,charged
5106,tell
5107,man
5108,thing
5109,seen
5110,","
5111,till
5112,Son
5113,man
5114,shall
5115,risen
5116,dead
5117,.
5118,9:9
5119,.
5120,kept
5121,word
5122,;
5123,questioning
5124,together
5125,mean
5126,","
5127,shall
5128,risen
5129,dead
5130,.
5131,9:10
5132,.
5133,asked
5134,","
5135,saying
5136,:
5137,Pharisees
5138,scribe
5139,say
5140,Elias
5141,must
5142,come
5143,first
5144,?
5145,9:11.
5146,answering
5147,","
5148,said
5149,:
5150,Elias
5151,","
5152,shall
5153,come
5154,first
5155,","
5156,shall
5157,restore
5158,thing
5159,;
5160,written
5161,Son
5162,man
5163,must
5164,suffer
5165,many
5166,thing
5167,despised
5168,.
5169,9:12
5170,.
5171,say
5172,Elias
5173,also
5174,come
5175,(
5176,done
5177,whatsoever
5178,would
5179,)
5180,","
5181,written
5182,.
5183,9:13
5184,.
5185,coming
5186,disciple
5187,saw
5188,great
5189,multitude
5190,scribe
5191,disputing
5192,.
5193,9:14
5194,.
5195,presently
5196,people
5197,","
5198,seeing
5199,Jesus
5200,","
5201,astonished
5202,struck
5203,fear
5204,:
5205,running
5206,","
5207,saluted
5208,.
5209,9:15
5210,.
5211,asked
5212,:
5213,question
5214,among
5215,?
5216,9:16
5217,.
5218,one
5219,multitude
5220,","
5221,answering
5222,","
5223,said
5224,:
5225,Master
5226,","
5227,brought
5228,son
5229,thee
5230,","
5231,dumb
5232,spirit
5233,.
5234,9:17.
5235,","
5236,wheresoever
5237,taketh
5238,","
5239,dasheth
5240,:
5241,foameth
5242,gnasheth
5243,teeth
5244,pineth
5245,away
5246,.
5247,spoke
5248,thy
5249,disciple
5250,cast
5251,:
5252,could
5253,.
5254,9:18.
5255,answering
5256,","
5257,said
5258,:
5259,incredulous
5260,generation
5261,","
5262,long
5263,shall
5264,?
5265,long
5266,shall
5267,suffer
5268,?
5269,Bring
5270,unto
5271,.
5272,9:19
5273,.
5274,brought
5275,.
5276,seen
5277,","
5278,immediately
5279,spirit
5280,troubled
5281,thrown
5282,upon
5283,ground
5284,","
5285,rolled
5286,foaming
5287,.
5288,9:20
5289,.
5290,asked
5291,father
5292,:
5293,long
5294,time
5295,since
5296,hath
5297,happened
5298,unto
5299,?
5300,said
5301,:
5302,infancy
5303,.
5304,9:21
5305,.
5306,oftentimes
5307,hath
5308,cast
5309,fire
5310,water
5311,destroy
5312,.
5313,thou
5314,canst
5315,thing
5316,","
5317,help
5318,u
5319,","
5320,compassion
5321,u
5322,.
5323,9:22
5324,.
5325,Jesus
5326,saith
5327,:
5328,thou
5329,canst
5330,believe
5331,","
5332,thing
5333,possible
5334,believeth
5335,.
5336,9:23
5337,.
5338,immediately
5339,father
5340,boy
5341,cry
5342,","
5343,tear
5344,said
5345,:
5346,believe
5347,","
5348,Lord
5349,.
5350,Help
5351,unbelief
5352,.
5353,9:24
5354,.
5355,Jesus
5356,saw
5357,multitude
5358,running
5359,together
5360,","
5361,threatened
5362,unclean
5363,spirit
5364,","
5365,saying
5366,:
5367,Deaf
5368,dumb
5369,spirit
5370,","
5371,command
5372,thee
5373,","
5374,go
5375,enter
5376,.
5377,9:25
5378,.
5379,cry
5380,greatly
5381,tearing
5382,","
5383,went
5384,.
5385,became
5386,dead
5387,","
5388,many
5389,said
5390,:
5391,dead
5392,.
5393,9:26
5394,.
5395,Jesus
5396,taking
5397,hand
5398,","
5399,lifted
5400,.
5401,arose
5402,.
5403,9:27
5404,.
5405,come
5406,house
5407,","
5408,disciple
5409,secretly
5410,asked
5411,:
5412,could
5413,cast
5414,?
5415,9:28
5416,.
5417,said
5418,:
5419,kind
5420,go
5421,nothing
5422,","
5423,prayer
5424,fasting
5425,.
5426,9:29
5427,.
5428,departing
5429,thence
5430,","
5431,passed
5432,Galilee
5433,:
5434,would
5435,man
5436,know
5437,.
5438,9:30
5439,.
5440,taught
5441,disciple
5442,said
5443,:
5444,Son
5445,man
5446,shall
5447,betrayed
5448,hand
5449,men
5450,","
5451,shall
5452,kill
5453,;
5454,killed
5455,","
5456,shall
5457,rise
5458,third
5459,day
5460,.
5461,9:31
5462,.
5463,understood
5464,word
5465,:
5466,afraid
5467,ask
5468,.
5469,9:32
5470,.
5471,came
5472,Capharnaum
5473,.
5474,house
5475,","
5476,asked
5477,:
5478,treat
5479,way
5480,?
5481,9:33
5482,.
5483,held
5484,peace
5485,","
5486,way
5487,disputed
5488,among
5489,","
5490,greatest
5491,.
5492,9:34
5493,.
5494,sitting
5495,","
5496,called
5497,twelve
5498,saith
5499,:
5500,man
5501,desire
5502,first
5503,","
5504,shall
5505,last
5506,minister
5507,.
5508,9:35
5509,.
5510,taking
5511,child
5512,","
5513,set
5514,midst
5515,.
5516,embraced
5517,","
5518,saith
5519,:
5520,9:36
5521,.
5522,Whosoever
5523,shall
5524,receive
5525,one
5526,child
5527,name
5528,receiveth
5529,.
5530,whosoever
5531,shall
5532,receive
5533,receiveth
5534,sent
5535,.
5536,9:37
5537,.
5538,John
5539,answered
5540,","
5541,saying
5542,:
5543,Master
5544,","
5545,saw
5546,one
5547,casting
5548,devil
5549,thy
5550,name
5551,","
5552,followeth
5553,u
5554,:
5555,forbade
5556,.
5557,9:38
5558,.
5559,Jesus
5560,said
5561,:
5562,forbid
5563,.
5564,man
5565,doth
5566,miracle
5567,name
5568,soon
5569,speak
5570,ill
5571,.
5572,9:39
5573,.
5574,.
5575,9:40
5576,.
5577,whosoever
5578,shall
5579,give
5580,drink
5581,cup
5582,water
5583,name
5584,","
5585,belong
5586,Christ
5587,:
5588,amen
5589,say
5590,","
5591,shall
5592,lose
5593,reward
5594,.
5595,9:41
5596,.
5597,whosoever
5598,shall
5599,scandalize
5600,one
5601,little
5602,one
5603,believe
5604,:
5605,better
5606,millstone
5607,hanged
5608,neck
5609,cast
5610,sea
5611,.
5612,9:42
5613,.
5614,thy
5615,hand
5616,scandalize
5617,thee
5618,","
5619,cut
5620,:
5621,better
5622,thee
5623,enter
5624,life
5625,","
5626,maimed
5627,","
5628,two
5629,hand
5630,go
5631,hell
5632,","
5633,unquenchable
5634,fire
5635,:
5636,9:43
5637,.
5638,worm
5639,dieth
5640,","
5641,fire
5642,extinguished
5643,.
5644,9:44
5645,.
5646,thy
5647,foot
5648,scandalize
5649,thee
5650,","
5651,cut
5652,:
5653,better
5654,thee
5655,enter
5656,lame
5657,life
5658,everlasting
5659,two
5660,foot
5661,cast
5662,hell
5663,unquenchable
5664,fire
5665,:
5666,9:45
5667,.
5668,worm
5669,dieth
5670,","
5671,fire
5672,extinguished
5673,.
5674,9:46
5675,.
5676,thy
5677,eye
5678,scandalize
5679,thee
5680,","
5681,pluck
5682,:
5683,better
5684,thee
5685,one
5686,eye
5687,enter
5688,kingdom
5689,God
5690,two
5691,eye
5692,cast
5693,hell
5694,fire
5695,:
5696,9:47
5697,.
5698,worm
5699,dieth
5700,","
5701,fire
5702,extinguished
5703,.
5704,9:48
5705,.
5706,every
5707,one
5708,shall
5709,salted
5710,fire
5711,:
5712,every
5713,victim
5714,shall
5715,salted
5716,salt
5717,.
5718,9:49
5719,.
5720,Salt
5721,good
5722,.
5723,salt
5724,become
5725,unsavoury
5726,","
5727,wherewith
5728,season
5729,?
5730,salt
5731,:
5732,peace
5733,among
5734,.
5735,Mark
5736,Chapter
5737,10
5738,Marriage
5739,dissolved
5740,.
5741,danger
5742,rich
5743,.
5744,ambition
5745,son
5746,Zebedee
5747,.
5748,blind
5749,man
5750,restored
5751,sight
5752,.
5753,10:1
5754,.
5755,rising
5756,thence
5757,","
5758,cometh
5759,coast
5760,Judea
5761,beyond
5762,Jordan
5763,:
5764,multitude
5765,flocked
5766,.
5767,accustomed
5768,","
5769,taught
5770,.
5771,10:2
5772,.
5773,Pharisees
5774,coming
5775,asked
5776,","
5777,tempting
5778,:
5779,lawful
5780,man
5781,put
5782,away
5783,wife
5784,?
5785,10:3
5786,.
5787,answering
5788,","
5789,saith
5790,:
5791,Moses
5792,command
5793,?
5794,10:4.
5795,said
5796,:
5797,Moses
5798,permitted
5799,write
5800,bill
5801,divorce
5802,put
5803,away
5804,.
5805,10:5
5806,.
5807,Jesus
5808,answering
5809,","
5810,said
5811,:
5812,hardness
5813,heart
5814,","
5815,wrote
5816,precept
5817,.
5818,10:6
5819,.
5820,beginning
5821,creation
5822,","
5823,God
5824,made
5825,male
5826,female
5827,.
5828,10:7
5829,.
5830,cause
5831,","
5832,man
5833,shall
5834,leave
5835,father
5836,mother
5837,shall
5838,cleave
5839,wife
5840,.
5841,10:8
5842,.
5843,two
5844,shall
5845,one
5846,flesh
5847,.
5848,Therefore
5849,two
5850,","
5851,one
5852,flesh
5853,.
5854,10:9
5855,.
5856,therefore
5857,God
5858,hath
5859,joined
5860,together
5861,","
5862,let
5863,man
5864,put
5865,asunder
5866,.
5867,10:10
5868,.
5869,house
5870,disciple
5871,asked
5872,concerning
5873,thing
5874,.
5875,10:11
5876,.
5877,saith
5878,:
5879,Whosoever
5880,shall
5881,put
5882,away
5883,wife
5884,marry
5885,another
5886,committeth
5887,adultery
5888,.
5889,10:12
5890,.
5891,wife
5892,shall
5893,put
5894,away
5895,husband
5896,married
5897,another
5898,","
5899,committeth
5900,adultery
5901,.
5902,10:13
5903,.
5904,brought
5905,young
5906,child
5907,","
5908,might
5909,touch
5910,.
5911,disciple
5912,rebuked
5913,brought
5914,.
5915,10:14
5916,.
5917,Jesus
5918,saw
5919,","
5920,much
5921,displeased
5922,saith
5923,:
5924,Suffer
5925,little
5926,child
5927,come
5928,unto
5929,forbid
5930,:
5931,kingdom
5932,God
5933,.
5934,10:15
5935,.
5936,Amen
5937,say
5938,","
5939,whosoever
5940,shall
5941,receive
5942,kingdom
5943,God
5944,little
5945,child
5946,shall
5947,enter
5948,.
5949,10:16
5950,.
5951,embracing
5952,laying
5953,hand
5954,upon
5955,","
5956,blessed
5957,.
5958,10:17
5959,.
5960,gone
5961,forth
5962,way
5963,","
5964,certain
5965,man
5966,","
5967,running
5968,kneeling
5969,","
5970,asked
5971,:
5972,Good
5973,Master
5974,","
5975,shall
5976,may
5977,receive
5978,life
5979,everlasting
5980,?
5981,10:18
5982,.
5983,Jesus
5984,said
5985,:
5986,callest
5987,thou
5988,good
5989,?
5990,None
5991,good
5992,one
5993,","
5994,God
5995,.
5996,None
5997,good
5998,....
5999,entirely
6000,essentially
6001,","
6002,God
6003,alone
6004,;
6005,men
6006,may
6007,good
6008,also
6009,","
6010,participation
6011,God
6012,’
6013,goodness
6014,.
6015,10:19
6016,.
6017,Thou
6018,knowest
6019,commandment
6020,:
6021,commit
6022,adultery
6023,","
6024,kill
6025,","
6026,steal
6027,","
6028,bear
6029,false
6030,witness
6031,","
6032,fraud
6033,","
6034,honour
6035,thy
6036,father
6037,mother
6038,.
6039,10:20
6040,.
6041,answering
6042,","
6043,said
6044,:
6045,Master
6046,","
6047,thing
6048,observed
6049,youth
6050,.
6051,10:21
6052,.
6053,Jesus
6054,","
6055,looking
6056,","
6057,loved
6058,said
6059,:
6060,One
6061,thing
6062,wanting
6063,unto
6064,thee
6065,.
6066,Go
6067,","
6068,sell
6069,whatsoever
6070,thou
6071,hast
6072,give
6073,poor
6074,:
6075,thou
6076,shalt
6077,treasure
6078,heaven
6079,.
6080,come
6081,","
6082,follow
6083,.
6084,10:22.
6085,struck
6086,sad
6087,saying
6088,","
6089,went
6090,away
6091,sorrowful
6092,:
6093,great
6094,possession
6095,.
6096,10:23
6097,.
6098,Jesus
6099,looking
6100,round
6101,","
6102,saith
6103,disciple
6104,:
6105,hardly
6106,shall
6107,rich
6108,enter
6109,kingdom
6110,God
6111,!
6112,10:24
6113,.
6114,disciple
6115,astonished
6116,word
6117,.
6118,Jesus
6119,answering
6120,","
6121,saith
6122,:
6123,Children
6124,","
6125,hard
6126,trust
6127,rich
6128,enter
6129,kingdom
6130,God
6131,?
6132,10:25
6133,.
6134,easier
6135,camel
6136,pas
6137,eye
6138,needle
6139,rich
6140,man
6141,enter
6142,kingdom
6143,God
6144,.
6145,10:26.
6146,wondered
6147,","
6148,saying
6149,among
6150,:
6151,saved
6152,?
6153,10:27
6154,.
6155,Jesus
6156,looking
6157,","
6158,saith
6159,men
6160,impossible
6161,;
6162,God
6163,.
6164,thing
6165,possible
6166,God
6167,.
6168,10:28
6169,.
6170,Peter
6171,began
6172,say
6173,unto
6174,:
6175,Behold
6176,","
6177,left
6178,thing
6179,followed
6180,thee
6181,.
6182,10:29
6183,.
6184,Jesus
6185,answering
6186,said
6187,:
6188,Amen
6189,say
6190,","
6191,man
6192,hath
6193,left
6194,house
6195,brother
6196,sister
6197,father
6198,mother
6199,child
6200,land
6201,","
6202,sake
6203,gospel
6204,","
6205,10:30.
6206,shall
6207,receive
6208,hundred
6209,time
6210,much
6211,","
6212,time
6213,:
6214,house
6215,brother
6216,sister
6217,mother
6218,child
6219,land
6220,","
6221,persecution
6222,:
6223,world
6224,come
6225,life
6226,everlasting
6227,.
6228,10:31
6229,.
6230,many
6231,first
6232,shall
6233,last
6234,:
6235,last
6236,","
6237,first
6238,.
6239,10:32
6240,.
6241,way
6242,going
6243,Jerusalem
6244,:
6245,Jesus
6246,went
6247,.
6248,astonished
6249,following
6250,afraid
6251,.
6252,taking
6253,twelve
6254,","
6255,began
6256,tell
6257,thing
6258,befall
6259,.
6260,10:33
6261,.
6262,Saying
6263,:
6264,Behold
6265,go
6266,Jerusalem
6267,","
6268,Son
6269,man
6270,shall
6271,betrayed
6272,chief
6273,priest
6274,scribe
6275,ancient
6276,.
6277,shall
6278,condemn
6279,death
6280,shall
6281,deliver
6282,Gentiles
6283,.
6284,10:34
6285,.
6286,shall
6287,mock
6288,spit
6289,scourge
6290,kill
6291,:
6292,third
6293,day
6294,shall
6295,rise
6296,.
6297,10:35
6298,.
6299,James
6300,John
6301,","
6302,son
6303,Zebedee
6304,","
6305,come
6306,","
6307,saying
6308,:
6309,Master
6310,","
6311,desire
6312,whatsoever
6313,shall
6314,ask
6315,","
6316,thou
6317,wouldst
6318,u
6319,.
6320,10:36
6321,.
6322,said
6323,:
6324,would
6325,?
6326,10:37
6327,.
6328,said
6329,:
6330,Grant
6331,u
6332,may
6333,sit
6334,","
6335,one
6336,thy
6337,right
6338,hand
6339,thy
6340,left
6341,hand
6342,","
6343,thy
6344,glory
6345,.
6346,10:38
6347,.
6348,Jesus
6349,said
6350,:
6351,know
6352,ask
6353,.
6354,drink
6355,chalice
6356,drink
6357,baptized
6358,baptism
6359,wherewith
6360,baptized
6361,?
6362,10:39
6363,.
6364,said
6365,:
6366,.
6367,Jesus
6368,saith
6369,:
6370,shall
6371,indeed
6372,drink
6373,chalice
6374,drink
6375,;
6376,baptism
6377,wherewith
6378,baptized
6379,shall
6380,baptized
6381,.
6382,10:40
6383,.
6384,sit
6385,right
6386,hand
6387,left
6388,mine
6389,give
6390,","
6391,prepared
6392,.
6393,10:41
6394,.
6395,ten
6396,","
6397,hearing
6398,","
6399,began
6400,much
6401,displeased
6402,James
6403,John
6404,.
6405,10:42
6406,.
6407,Jesus
6408,calling
6409,","
6410,saith
6411,:
6412,know
6413,seem
6414,rule
6415,Gentiles
6416,lord
6417,:
6418,prince
6419,power
6420,.
6421,10:43
6422,.
6423,among
6424,:
6425,whosoever
6426,greater
6427,shall
6428,minister
6429,.
6430,10:44
6431,.
6432,whosoever
6433,first
6434,among
6435,shall
6436,servant
6437,.
6438,10:45
6439,.
6440,Son
6441,man
6442,also
6443,come
6444,ministered
6445,unto
6446,:
6447,minister
6448,give
6449,life
6450,redemption
6451,many
6452,.
6453,10:46
6454,.
6455,came
6456,Jericho
6457,.
6458,went
6459,Jericho
6460,disciple
6461,great
6462,multitude
6463,","
6464,Bartimeus
6465,blind
6466,man
6467,","
6468,son
6469,Timeus
6470,","
6471,sat
6472,way
6473,side
6474,begging
6475,.
6476,10:47.
6477,heard
6478,Jesus
6479,Nazareth
6480,","
6481,began
6482,cry
6483,say
6484,:
6485,Jesus
6486,","
6487,Son
6488,David
6489,","
6490,mercy
6491,.
6492,10:48
6493,.
6494,many
6495,rebuked
6496,","
6497,might
6498,hold
6499,peace
6500,;
6501,cried
6502,great
6503,deal
6504,:
6505,Son
6506,David
6507,","
6508,mercy
6509,.
6510,10:49
6511,.
6512,Jesus
6513,","
6514,standing
6515,still
6516,","
6517,commanded
6518,called
6519,.
6520,call
6521,blind
6522,man
6523,","
6524,saying
6525,:
6526,better
6527,comfort
6528,.
6529,Arise
6530,","
6531,calleth
6532,thee
6533,.
6534,10:50.
6535,casting
6536,garment
6537,leaped
6538,came
6539,.
6540,10:51
6541,.
6542,Jesus
6543,answering
6544,","
6545,said
6546,:
6547,wilt
6548,thou
6549,thee
6550,?
6551,blind
6552,man
6553,said
6554,:
6555,Rabboni
6556,.
6557,may
6558,see
6559,.
6560,10:52
6561,.
6562,Jesus
6563,saith
6564,:
6565,Go
6566,thy
6567,way
6568,.
6569,Thy
6570,faith
6571,hath
6572,made
6573,thee
6574,whole
6575,.
6576,immediately
6577,saw
6578,followed
6579,way
6580,.
6581,Mark
6582,Chapter
6583,11
6584,Christ
6585,enters
6586,Jerusalem
6587,upon
6588,as
6589,.
6590,curse
6591,barren
6592,fig
6593,tree
6594,drive
6595,buyer
6596,seller
6597,temple
6598,.
6599,11:1
6600,.
6601,drawing
6602,near
6603,Jerusalem
6604,Bethania
6605,","
6606,mount
6607,Olives
6608,","
6609,sendeth
6610,two
6611,disciple
6612,","
6613,11:2
6614,.
6615,saith
6616,:
6617,Go
6618,village
6619,","
6620,immediately
6621,coming
6622,thither
6623,","
6624,shall
6625,find
6626,colt
6627,tied
6628,","
6629,upon
6630,man
6631,yet
6632,hath
6633,sat
6634,.
6635,Loose
6636,bring
6637,.
6638,11:3
6639,.
6640,man
6641,shall
6642,say
6643,:
6644,?
6645,Say
6646,ye
6647,Lord
6648,hath
6649,need
6650,.
6651,immediately
6652,let
6653,come
6654,hither
6655,.
6656,11:4
6657,.
6658,going
6659,way
6660,","
6661,found
6662,colt
6663,tied
6664,gate
6665,without
6666,","
6667,meeting
6668,two
6669,way
6670,.
6671,loose
6672,.
6673,11:5
6674,.
6675,stood
6676,said
6677,:
6678,loosing
6679,colt
6680,?
6681,11:6.
6682,said
6683,Jesus
6684,commanded
6685,.
6686,let
6687,go
6688,.
6689,11:7
6690,.
6691,brought
6692,colt
6693,Jesus
6694,.
6695,lay
6696,garment
6697,:
6698,sat
6699,upon
6700,.
6701,11:8
6702,.
6703,many
6704,spread
6705,garment
6706,way
6707,:
6708,others
6709,cut
6710,bough
6711,tree
6712,strewed
6713,way
6714,.
6715,11:9
6716,.
6717,went
6718,followed
6719,cried
6720,","
6721,saying
6722,:
6723,Hosanna
6724,:
6725,Blessed
6726,cometh
6727,name
6728,Lord
6729,.
6730,11:10
6731,.
6732,Blessed
6733,kingdom
6734,father
6735,David
6736,cometh
6737,:
6738,Hosanna
6739,highest
6740,.
6741,11:11
6742,.
6743,entered
6744,Jerusalem
6745,","
6746,temple
6747,:
6748,viewed
6749,thing
6750,round
6751,","
6752,eventide
6753,come
6754,","
6755,went
6756,Bethania
6757,twelve
6758,.
6759,11:12
6760,.
6761,next
6762,day
6763,came
6764,Bethania
6765,","
6766,hungry
6767,.
6768,11:13
6769,.
6770,seen
6771,afar
6772,fig
6773,tree
6774,leaf
6775,","
6776,came
6777,","
6778,perhaps
6779,might
6780,find
6781,thing
6782,.
6783,come
6784,","
6785,found
6786,nothing
6787,leaf
6788,.
6789,time
6790,fig
6791,.
6792,11:14
6793,.
6794,answering
6795,said
6796,:
6797,May
6798,man
6799,hereafter
6800,eat
6801,fruit
6802,thee
6803,ever
6804,!
6805,disciple
6806,heard
6807,.
6808,11:15
6809,.
6810,came
6811,Jerusalem
6812,.
6813,entered
6814,temple
6815,","
6816,began
6817,cast
6818,sold
6819,bought
6820,temple
6821,:
6822,threw
6823,table
6824,moneychangers
6825,chair
6826,sold
6827,dove
6828,.
6829,11:16
6830,.
6831,suffered
6832,man
6833,carry
6834,vessel
6835,temple
6836,.
6837,11:17
6838,.
6839,taught
6840,","
6841,saying
6842,:
6843,written
6844,:
6845,house
6846,shall
6847,called
6848,house
6849,prayer
6850,nation
6851,","
6852,made
6853,den
6854,thief
6855,.
6856,11:18
6857,.
6858,chief
6859,priest
6860,scribe
6861,heard
6862,","
6863,sought
6864,might
6865,destroy
6866,.
6867,feared
6868,","
6869,whole
6870,multitude
6871,admiration
6872,doctrine
6873,.
6874,11:19
6875,.
6876,evening
6877,come
6878,","
6879,went
6880,forth
6881,city
6882,.
6883,11:20
6884,.
6885,passed
6886,morning
6887,saw
6888,fig
6889,tree
6890,dried
6891,root
6892,.
6893,11:21
6894,.
6895,Peter
6896,remembering
6897,","
6898,said
6899,:
6900,Rabbi
6901,","
6902,behold
6903,fig
6904,tree
6905,thou
6906,didst
6907,curse
6908,withered
6909,away
6910,.
6911,11:22
6912,.
6913,Jesus
6914,answering
6915,","
6916,saith
6917,:
6918,faith
6919,God
6920,.
6921,11:23
6922,.
6923,Amen
6924,say
6925,whosoever
6926,shall
6927,say
6928,mountain
6929,","
6930,thou
6931,removed
6932,cast
6933,sea
6934,","
6935,shall
6936,stagger
6937,heart
6938,","
6939,believe
6940,whatsoever
6941,saith
6942,shall
6943,done
6944,;
6945,shall
6946,done
6947,unto
6948,.
6949,11:24
6950,.
6951,Therefore
6952,say
6953,unto
6954,","
6955,thing
6956,","
6957,whatsoever
6958,ask
6959,ye
6960,pray
6961,","
6962,believe
6963,shall
6964,receive
6965,:
6966,shall
6967,come
6968,unto
6969,.
6970,11:25
6971,.
6972,shall
6973,stand
6974,pray
6975,","
6976,forgive
6977,","
6978,aught
6979,man
6980,:
6981,Father
6982,also
6983,","
6984,heaven
6985,","
6986,may
6987,forgive
6988,sin
6989,.
6990,11:26
6991,.
6992,forgive
6993,","
6994,neither
6995,father
6996,heaven
6997,forgive
6998,sin
6999,.
7000,11:27
7001,.
7002,come
7003,Jerusalem
7004,.
7005,walking
7006,temple
7007,","
7008,come
7009,chief
7010,priest
7011,scribe
7012,ancient
7013,.
7014,11:28
7015,.
7016,say
7017,:
7018,authority
7019,dost
7020,thou
7021,thing
7022,?
7023,hath
7024,given
7025,thee
7026,authority
7027,thou
7028,shouldst
7029,thing
7030,?
7031,11:29
7032,.
7033,Jesus
7034,answering
7035,","
7036,said
7037,:
7038,also
7039,ask
7040,one
7041,word
7042,.
7043,answer
7044,:
7045,tell
7046,authority
7047,thing
7048,.
7049,11:30
7050,.
7051,baptism
7052,John
7053,","
7054,heaven
7055,men
7056,?
7057,Answer
7058,.
7059,11:31
7060,.
7061,thought
7062,","
7063,saying
7064,:
7065,say
7066,","
7067,heaven
7068,;
7069,say
7070,","
7071,believe
7072,?
7073,11:32
7074,.
7075,say
7076,","
7077,men
7078,","
7079,fear
7080,people
7081,.
7082,men
7083,counted
7084,John
7085,prophet
7086,indeed
7087,.
7088,11:33
7089,.
7090,answering
7091,","
7092,say
7093,Jesus
7094,:
7095,know
7096,.
7097,Jesus
7098,answering
7099,","
7100,saith
7101,:
7102,Neither
7103,tell
7104,authority
7105,thing
7106,.
7107,Mark
7108,Chapter
7109,12
7110,parable
7111,vineyard
7112,husbandman
7113,.
7114,Caesar
7115,’
7116,right
7117,tribute
7118,.
7119,Sadducees
7120,confuted
7121,.
7122,first
7123,commandment
7124,.
7125,widow
7126,’
7127,mite
7128,.
7129,12:1
7130,.
7131,began
7132,speak
7133,parable
7134,:
7135,certain
7136,man
7137,planted
7138,vineyard
7139,made
7140,hedge
7141,dug
7142,place
7143,winefat
7144,built
7145,tower
7146,let
7147,husbandman
7148,:
7149,went
7150,far
7151,country
7152,.
7153,12:2
7154,.
7155,season
7156,sent
7157,husbandman
7158,servant
7159,receive
7160,husbandman
7161,fruit
7162,vineyard
7163,.
7164,12:3.
7165,","
7166,laid
7167,hand
7168,","
7169,beat
7170,sent
7171,away
7172,empty
7173,.
7174,12:4
7175,.
7176,sent
7177,another
7178,servant
7179,:
7180,wounded
7181,head
7182,used
7183,reproachfully
7184,.
7185,12:5
7186,.
7187,sent
7188,another
7189,","
7190,killed
7191,:
7192,many
7193,others
7194,","
7195,beat
7196,","
7197,others
7198,killed
7199,.
7200,12:6
7201,.
7202,Therefore
7203,","
7204,yet
7205,one
7206,son
7207,","
7208,dear
7209,","
7210,also
7211,sent
7212,unto
7213,last
7214,","
7215,saying
7216,:
7217,reverence
7218,son
7219,.
7220,12:7
7221,.
7222,husbandman
7223,said
7224,one
7225,another
7226,:
7227,heir
7228,.
7229,Come
7230,let
7231,u
7232,kill
7233,inheritance
7234,shall
7235,.
7236,12:8
7237,.
7238,laying
7239,hold
7240,","
7241,killed
7242,cast
7243,vineyard
7244,.
7245,12:9
7246,.
7247,therefore
7248,lord
7249,vineyard
7250,?
7251,come
7252,destroy
7253,husbandman
7254,give
7255,vineyard
7256,others
7257,.
7258,12:10
7259,.
7260,read
7261,scripture
7262,","
7263,stone
7264,builder
7265,rejected
7266,","
7267,made
7268,head
7269,corner
7270,:
7271,12:11
7272,.
7273,Lord
7274,done
7275,","
7276,wonderful
7277,eye
7278,.
7279,12:12
7280,.
7281,sought
7282,lay
7283,hand
7284,:
7285,feared
7286,people
7287,.
7288,knew
7289,spoke
7290,parable
7291,.
7292,leaving
7293,","
7294,went
7295,way
7296,.
7297,12:13
7298,.
7299,sent
7300,Pharisees
7301,Herodians
7302,:
7303,catch
7304,word
7305,.
7306,12:14.
7307,coming
7308,","
7309,say
7310,:
7311,Master
7312,","
7313,know
7314,thou
7315,art
7316,true
7317,speaker
7318,carest
7319,man
7320,;
7321,thou
7322,regardest
7323,person
7324,men
7325,","
7326,teachest
7327,way
7328,God
7329,truth
7330,.
7331,lawful
7332,give
7333,tribute
7334,Caesar
7335,?
7336,shall
7337,give
7338,?
7339,12:15.
7340,knowing
7341,wiliness
7342,","
7343,saith
7344,:
7345,tempt
7346,?
7347,Bring
7348,penny
7349,may
7350,see
7351,.
7352,12:16
7353,.
7354,brought
7355,.
7356,saith
7357,:
